"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"CAMERONARTISPAYNE","RB","Cameron Artis-Payne","CAR",274,274,0.2,0,0,0,0,0,1.4,5.9,0,0.1,0.9,0,NA,NA,NA
"CHRISTINEMICHAEL","RB","Christine Michael","DAL",274,274,0.2,0,0,0,0,0,1.1,5.3,0,0.1,1,0,NA,NA,NA
"COREYGRANT","RB","Corey Grant","JAX",274,274,0.2,0,0,0,0,0,0.7,2.6,0,0.5,4.4,0,NA,NA,NA
"DERRICKCOLEMAN","RB","Derrick Coleman","SEA",274,274,0.2,0,0,0,0,0,0.6,1.9,0,0.2,1.8,0,NA,NA,NA
"JAMIZEOLAWALE","RB","Jamize Olawale","OAK",274,274,0.2,0,0,0,0,0,0.5,1.5,0,0.3,2.2,0,NA,NA,NA
"JARRYDHAYNE","RB","Jarryd Hayne","SF",274,274,0.2,0,0,0,0,0,0.5,2,0,0.1,0.9,0,NA,NA,NA
"JEROMEFELTON","RB","Jerome Felton","BUF",274,274,0.2,0,0,0,0,0,0.2,0.5,0,0.4,3.6,0,NA,NA,NA
"JOHNKUHN","RB","John Kuhn","GB",274,274,0.2,0,0,0,0,0,0.3,0.9,0,0.2,2,0,NA,NA,NA
"MARCMARIANI","WR","Marc Mariani","CHI",274,274,0.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARCUSMURPHY","RB","Marcus Murphy","NO",274,274,0.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DARRELYOUNG","RB","Darrel Young","WAS",287,287,0.1,0,0,0,0,0,0.3,0.9,0,0.3,2.3,0,NA,NA,NA
"DRIARCHER","RB","Dri Archer","PIT",287,287,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ISAIAHPEAD","RB","Isaiah Pead","STL",287,287,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JAYPROSCH","RB","Jay Prosch","HOU",287,287,0.1,0,0,0,0,0,0.4,1.3,0,0.1,1.2,0,NA,NA,NA
"JORVORSKIELANE","RB","Jorvorskie Lane","TB",287,287,0.1,0,0,0,0,0,0.5,1.5,0,0.2,2.2,0,NA,NA,NA
"MICHAELBURTON","RB","Michael Burton","DET",287,287,0.1,0,0,0,0,0,0.4,1.3,0,0.1,1.1,0,NA,NA,NA
"REXBURKHEAD","RB","Rex Burkhead","CIN",287,287,0.1,0,0,0,0,0,0.1,0.6,0,0.6,4.5,0,NA,NA,NA
"TOMMYBOHANON","RB","Tommy Bohanon","NYJ",287,287,0.1,0,0,0,0,0,0.5,1.7,0,0.1,1,0,NA,NA,NA
"TYLERVARGA","RB","Tyler Varga","IND",287,287,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"WILLJOHNSON","RB","Will Johnson","PIT",287,287,0.1,0,0,0,0,0,0.2,0.8,0,0.2,1.9,0,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","NYJ",287,287,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ZURLONTIPTON","RB","Zurlon Tipton","IND",287,287,0.1,0,0,0,0,0,0.5,2,0,0.1,1.2,0,NA,NA,NA
"ALONZOHARRIS","RB","Alonzo Harris","GB",299,299,0,0,0,0,0,0,0.3,1.1,0,0,0,0,NA,NA,NA
"BROCKOSWEILER","QB","Brock Osweiler","DEN",299,299,0,0.2,0.1,1.3,0,0,0,0,0,0,0,0,NA,NA,NA
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHARCANDRICKWEST","RB","Charcandrick West","KC",299,299,0,0,0,0,0,0,0.1,0.4,0,0.1,1.1,0,NA,NA,NA
"CHASEREYNOLDS","RB","Chase Reynolds","STL",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAX",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DREWSTANTON","QB","Drew Stanton","ARI",299,299,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",299,299,0,0.1,0.1,1,0,0,0,0,0,0,0,0,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","PIT",299,299,0,0,0,0,0,0,0.2,0.9,0,0,0,0,NA,NA,NA
"KELLENCLEMENS","QB","Kellen Clemens","SD",299,299,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"KENJONBARNER","RB","Kenjon Barner","PHI",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LUKEMCCOWN","QB","Luke McCown","NO",299,299,0,0.2,0.1,1.4,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",299,299,0,0.2,0.1,1.4,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTMCGLOIN","QB","Matt McGloin","OAK",299,299,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","BAL",299,299,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"ORLEANSDARKWA","RB","Orleans Darkwa","NYG",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SCOTTTOLZIEN","QB","Scott Tolzien","GB",299,299,0,0.2,0.1,1.3,0,0,0,0,0,0,0,0,NA,NA,NA
"SHAUNDRAUGHN","RB","Shaun Draughn","CLE",299,299,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",299,299,0,0.1,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"ZACHZENNER","RB","Zach Zenner","DET",299,299,0,0,0,0,0,0,0.4,1.4,0,0,0,0,NA,NA,NA
