"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"KENDALLWRIGHT","WR","Kendall Wright","TEN",34,93,6.5,NA,NA,NA,NA,NA,NA,NA,NA,4,65,0,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",36,101,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",36,101,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",30,103,5.5,NA,NA,NA,NA,NA,10,40,0,2,15,0,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",12,103,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5,55,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",31,105,5,NA,NA,NA,NA,NA,10,40,0,1,10,0,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",31,105,5,NA,NA,NA,NA,NA,11,40,0,1,10,0,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",38,105,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",38,105,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",38,105,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",38,105,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",38,105,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",33,112,4.5,NA,NA,NA,NA,NA,9,35,0,2,10,0,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",43,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,3,45,0,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",43,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",43,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,3,45,0,NA,NA,NA
