"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",0,0,0,NA,NA,NA,NA,NA,21,111,1,4,24,0,NA,NA,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",0,0,0,NA,NA,NA,NA,NA,20,107,1,3,23,0,NA,NA,0
"MATTFORTE","RB","Matt Forte","CHI",0,0,0,NA,NA,NA,NA,NA,21,100,1,5,46,0,NA,NA,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",0,0,0,NA,NA,NA,NA,NA,22,97,1,2,9,0,NA,NA,0
"ALFREDBLUE","RB","Alfred Blue","HOU",0,0,0,NA,NA,NA,NA,NA,21,82,1,0,1,0,NA,NA,0
"EDDIELACY","RB","Eddie Lacy","GB",0,0,0,NA,NA,NA,NA,NA,17,79,1,4,37,0,NA,NA,0
"MARKINGRAM","RB","Mark Ingram","NO",0,0,0,NA,NA,NA,NA,NA,17,77,1,2,13,0,NA,NA,0
"DENARDROBINSON","RB","Denard Robinson","JAC",0,0,0,NA,NA,NA,NA,NA,17,77,1,2,13,0,NA,NA,0
"TREMASON","RB","Tre Mason","STL",0,0,0,NA,NA,NA,NA,NA,19,74,0,3,10,0,NA,NA,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",0,0,0,NA,NA,NA,NA,NA,20,74,1,3,25,0,NA,NA,0
"STEVENJACKSON","RB","Steven Jackson","ATL",0,0,0,NA,NA,NA,NA,NA,17,72,1,2,8,0,NA,NA,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",0,0,0,NA,NA,NA,NA,NA,16,72,1,3,21,0,NA,NA,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",0,0,0,NA,NA,NA,NA,NA,17,72,1,1,6,0,NA,NA,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",0,0,0,NA,NA,NA,NA,NA,17,71,0,4,29,0,NA,NA,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",0,0,0,NA,NA,NA,NA,NA,17,66,0,2,12,0,NA,NA,0
"LAMARMILLER","RB","Lamar Miller","MIA",0,0,0,NA,NA,NA,NA,NA,16,65,0,4,21,0,NA,NA,0
"FRANKGORE","RB","Frank Gore","SF",0,0,0,NA,NA,NA,NA,NA,18,63,1,1,7,0,NA,NA,0
"TRENTRICHARDSON","RB","Trent Richardson","IND",0,0,0,NA,NA,NA,NA,NA,17,63,1,4,21,0,NA,NA,0
"JEREMYHILL","RB","Jeremy Hill","CIN",0,0,0,NA,NA,NA,NA,NA,15,62,1,1,5,0,NA,NA,0
"RYANMATHEWS","RB","Ryan Mathews","SD",0,0,0,NA,NA,NA,NA,NA,16,62,0,2,9,0,NA,NA,0
"JOIQUEBELL","RB","Joique Bell","DET",0,0,0,NA,NA,NA,NA,NA,15,57,0,3,26,0,NA,NA,0
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",0,0,0,NA,NA,NA,NA,NA,14,57,0,4,23,0,NA,NA,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",0,0,0,NA,NA,NA,NA,NA,18,51,0,5,28,0,NA,NA,0
"CJANDERSON","RB","C.J. Anderson","DEN",0,0,0,NA,NA,NA,NA,NA,15,50,0,6,49,0,NA,NA,0
"BISHOPSANKEY","RB","Bishop Sankey","TEN",0,0,0,NA,NA,NA,NA,NA,13,49,0,3,16,0,NA,NA,0
"KNILEDAVIS","RB","Knile Davis","KC",0,0,0,NA,NA,NA,NA,NA,9,47,0,2,16,0,NA,NA,0
"CHRISIVORY","RB","Chris Ivory","NYJ",0,0,0,NA,NA,NA,NA,NA,13,42,1,1,4,0,NA,NA,0
"CHARLESSIMS","RB","Charles Sims","TB",0,0,0,NA,NA,NA,NA,NA,9,37,0,3,21,0,NA,NA,0
"FREDJACKSON","RB","Fred Jackson","BUF",0,0,0,NA,NA,NA,NA,NA,9,35,0,3,23,0,NA,NA,0
"TERRANCEWEST","RB","Terrance West","CLE",0,0,0,NA,NA,NA,NA,NA,9,35,0,3,17,0,NA,NA,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",0,0,0,NA,NA,NA,NA,NA,9,33,0,2,10,0,NA,NA,0
"CARLOSHYDE","RB","Carlos Hyde","SF",0,0,0,NA,NA,NA,NA,NA,7,29,0,2,8,0,NA,NA,0
"JONASGRAY","RB","Jonas Gray","NE",0,0,0,NA,NA,NA,NA,NA,8,29,0,0,0,0,NA,NA,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",0,0,0,NA,NA,NA,NA,NA,8,28,0,1,2,0,NA,NA,0
"SHANEVEREEN","RB","Shane Vereen","NE",0,0,0,NA,NA,NA,NA,NA,7,27,0,6,49,0,NA,NA,0
"BRANDENOLIVER","RB","Branden Oliver","SD",0,0,0,NA,NA,NA,NA,NA,8,26,0,3,12,0,NA,NA,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",0,0,0,NA,NA,NA,NA,NA,5,26,0,5,50,0,NA,NA,0
"JAMESSTARKS","RB","James Starks","GB",0,0,0,NA,NA,NA,NA,NA,6,25,0,1,3,0,NA,NA,0
"CHRISJOHNSON","RB","Chris Johnson","NYJ",0,0,0,NA,NA,NA,NA,NA,7,25,0,3,19,0,NA,NA,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",0,0,0,NA,NA,NA,NA,NA,7,24,0,0,0,0,NA,NA,0
"BRYCEBROWN","RB","Bryce Brown","BUF",0,0,0,NA,NA,NA,NA,NA,5,23,0,4,38,0,NA,NA,0
"CHRISPOLK","RB","Chris Polk","PHI",0,0,0,NA,NA,NA,NA,NA,6,23,0,0,0,0,NA,NA,0
"DANHERRON","RB","Dan Herron","IND",0,0,0,NA,NA,NA,NA,NA,6,23,0,2,16,0,NA,NA,0
"DOUGMARTIN","RB","Doug Martin","TB",0,0,0,NA,NA,NA,NA,NA,6,22,0,0,2,0,NA,NA,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",0,0,0,NA,NA,NA,NA,NA,4,22,0,0,0,0,NA,NA,0
"KADEEMCAREY","RB","KaDeem Carey","CHI",0,0,0,NA,NA,NA,NA,NA,4,22,0,0,1,0,NA,NA,0
"BERNARDPIERCE","RB","Bernard Pierce","BAL",0,0,0,NA,NA,NA,NA,NA,5,21,0,0,0,0,NA,NA,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",0,0,0,NA,NA,NA,NA,NA,4,21,0,3,18,0,NA,NA,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",0,0,0,NA,NA,NA,NA,NA,7,20,0,3,17,0,NA,NA,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",0,0,0,NA,NA,NA,NA,NA,4,19,0,1,11,0,NA,NA,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",0,0,0,NA,NA,NA,NA,NA,4,18,0,1,3,0,NA,NA,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",0,0,0,NA,NA,NA,NA,NA,5,17,0,2,20,0,NA,NA,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",0,0,0,NA,NA,NA,NA,NA,2,17,0,1,2,0,NA,NA,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",0,0,0,NA,NA,NA,NA,NA,4,16,0,1,2,0,NA,NA,0
"BENTATE","RB","Ben Tate","MIN",0,0,0,NA,NA,NA,NA,NA,5,16,0,3,16,0,NA,NA,0
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",0,0,0,NA,NA,NA,NA,NA,4,16,0,3,13,0,NA,NA,0
"DARRENSPROLES","RB","Darren Sproles","PHI",0,0,0,NA,NA,NA,NA,NA,2,14,1,2,23,0,NA,NA,0
"DEANTHONYTHOMAS","RB","DeAnthony Thomas","KC",0,0,0,NA,NA,NA,NA,NA,2,14,0,2,8,0,NA,NA,0
"DUJUANHARRIS","RB","DuJuan Harris","GB",0,0,0,NA,NA,NA,NA,NA,2,13,0,0,0,0,NA,NA,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",0,0,0,NA,NA,NA,NA,NA,3,13,0,4,30,0,NA,NA,0
"THEORIDDICK","RB","Theo Riddick","DET",0,0,0,NA,NA,NA,NA,NA,4,13,0,4,32,0,NA,NA,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",0,0,0,NA,NA,NA,NA,NA,3,13,0,1,5,0,NA,NA,0
"TOBYGERHART","RB","Toby Gerhart","JAC",0,0,0,NA,NA,NA,NA,NA,4,13,0,1,12,0,NA,NA,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",0,0,0,NA,NA,NA,NA,NA,4,12,0,1,3,0,NA,NA,0
"SHONNGREENE","RB","Shonn Greene","TEN",0,0,0,NA,NA,NA,NA,NA,3,12,0,1,0,0,NA,NA,0
"ROYHELU","RB","Roy Helu","WAS",0,0,0,NA,NA,NA,NA,NA,3,12,0,4,35,0,NA,NA,0
"BENJAMINCUNNINGHAM","RB","Benjamin Cunningham","STL",0,0,0,NA,NA,NA,NA,NA,2,10,0,3,27,0,NA,NA,0
"BILALPOWELL","RB","Bilal Powell","NYJ",0,0,0,NA,NA,NA,NA,NA,2,10,0,1,2,0,NA,NA,0
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",0,0,0,NA,NA,NA,NA,NA,3,9,0,1,3,0,NA,NA,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",0,0,0,NA,NA,NA,NA,NA,2,8,0,1,2,0,NA,NA,0
"DAMIENWILLIAMS","RB","Damien Williams","MIA",0,0,0,NA,NA,NA,NA,NA,1,7,0,2,20,0,NA,NA,0
"JORDANTODMAN","RB","Jordan Todman","JAC",0,0,0,NA,NA,NA,NA,NA,1,5,0,3,19,0,NA,NA,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",0,0,0,NA,NA,NA,NA,NA,1,5,0,2,15,0,NA,NA,0
"DONALDBROWN","RB","Donald Brown","SD",0,0,0,NA,NA,NA,NA,NA,1,5,0,1,2,0,NA,NA,0
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",0,0,0,NA,NA,NA,NA,NA,1,4,0,3,20,0,NA,NA,0
"MARCELREECE","RB","Marcel Reece","OAK",0,0,0,NA,NA,NA,NA,NA,1,4,0,1,3,0,NA,NA,0
"JOHNKUHN","RB","John Kuhn","GB",0,0,0,NA,NA,NA,NA,NA,1,4,0,0,1,0,NA,NA,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",0,0,0,NA,NA,NA,NA,NA,1,3,0,2,9,0,NA,NA,0
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",0,0,0,NA,NA,NA,NA,NA,5,2,0,0,1,0,NA,NA,0
"RONNIEBROWN","RB","Ronnie Brown","SD",0,0,0,NA,NA,NA,NA,NA,1,2,0,0,0,0,NA,NA,0
"MIKEJAMES","RB","Mike James","TB",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"FRANKSUMMERS","RB","Frank Summers","BUF",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"ZACSTACY","RB","Zac Stacy","STL",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"HENRYHYNOSKI","RB","Henry Hynoski","NYG",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,0
"JEDCOLLINS","RB","Jed Collins","DET",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"REXBURKHEAD","RB","Rex Burkhead","CIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JACKIEBATTLE","RB","Jackie Battle","TEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,2,0,NA,NA,0
"TONYFIAMMETTA","RB","Tony Fiammetta","CHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JAYPROSCH","RB","Jay Prosch","HOU",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JEROMEFELTON","RB","Jerome Felton","MIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"LEONWASHINGTON","RB","Leon Washington","TEN",0,0,0,NA,NA,NA,NA,NA,1,0,0,2,11,0,NA,NA,0
"SENORISEPERRY","RB","Senorise Perry","CHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"RAYAGNEW","RB","Ray Agnew","CLE",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"MARIONGRICE","RB","Marion Grice","SD",0,0,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,0
"TRAVARISCADET","RB","Travaris Cadet","NO",0,0,0,NA,NA,NA,NA,NA,1,0,0,1,5,0,NA,NA,0
"JORVORSKIELANE","RB","Jorvorskie Lane","TB",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JOEBANYARD","RB","Joe Banyard","MIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"EDWINBAKER","RB","Edwin Baker","CLE",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JAMIZEOLAWALE","RB","Jamize Olawale","OAK",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"DARRELYOUNG","RB","Darrel Young","WAS",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,3,0,NA,NA,0
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,12,0,NA,NA,0
"BRUCEMILLER","RB","Bruce Miller","SF",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,6,0,NA,NA,0
"JAMESDEVELIN","RB","James Develin","NE",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,2,0,NA,NA,0
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,4,0,NA,NA,0
"TYLERCLUTTS","RB","Tyler Clutts","DAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"SILASREDD","RB","Silas Redd","WAS",0,0,0,NA,NA,NA,NA,NA,4,0,0,0,0,0,NA,NA,0
"WILLTAUFOOU","RB","Will Taufoou","JAC",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,0
"ERIKLORIG","RB","Erik Lorig","NO",0,0,0,NA,NA,NA,NA,NA,0,0,0,2,5,0,NA,NA,0
"DEZBRYANT","WR","Dez Bryant","DAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,98,1,NA,NA,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,96,1,NA,NA,0
"JORDYNELSON","WR","Jordy Nelson","GB",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,94,1,NA,NA,0
"RANDALLCOBB","WR","Randall Cobb","GB",0,0,0,NA,NA,NA,NA,NA,1,1,0,7,93,1,NA,NA,0
"MIKEEVANS","WR","Mike Evans","TB",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,92,1,NA,NA,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",0,0,0,NA,NA,NA,NA,NA,1,2,0,6,92,1,NA,NA,0
"JULIOJONES","WR","Julio Jones","ATL",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,92,1,NA,NA,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,90,1,NA,NA,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,89,1,NA,NA,0
"AJGREEN","WR","A.J. Green","CIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,89,1,NA,NA,0
"TYHILTON","WR","T.Y. Hilton","IND",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,84,1,NA,NA,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,84,1,NA,NA,0
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,83,1,NA,NA,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,83,1,NA,NA,0
"JOSHGORDON","WR","Josh Gordon","CLE",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,82,1,NA,NA,0
"TORREYSMITH","WR","Torrey Smith","BAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,77,1,NA,NA,0
"CECILSHORTS","WR","Cecil Shorts III","JAC",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,77,1,NA,NA,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,75,0,NA,NA,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,73,1,NA,NA,0
"KENNYBRITT","WR","Kenny Britt","STL",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,72,1,NA,NA,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,72,0,NA,NA,0
"MARQUESCOLSTON","WR","Marques Colston","NO",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,71,1,NA,NA,0
