"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","points","passAtt","passYds","passTds","passInt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50"
"JULIOJONES","WR","yahoo","Julio Jones","ATL",2,19,"271.61",1.8,0,0,0,11.9,0,113,167,1540,10.2,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","yahoo","Colin Kaepernick","SF",17,20,"267.04",101,3665,15.6,9.2,620,2.1,0,0,0,0,0,0.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","yahoo","Alex Smith","KC",18,21,"266.25",63.2,3613,24.1,8.7,291,1.7,0,0,0,0,0,0.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","yahoo","Teddy Bridgewater","MIN",19,22,"261.56",55.4,3871,20,14.5,305,2.2,0,0,0,0,0,0.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB","yahoo","Sam Bradford","PHI",20,23,"258.57",33,3803,27.4,13.9,94,1.4,0,0,0,0,0,0.7,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","yahoo","Eddie Lacy","GB",2,24,"256.41",299,0,0,0,1321,9.7,45.1,58.9,319,2.4,0,0.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","yahoo","Jamaal Charles","KC",3,25,"256.29",244,0,0,0,1101,7.7,58.2,78.1,504,4.2,0,0.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMEISWINSTON","QB","yahoo","Jameis Winston","TB",21,26,"250.40",59.6,4094,20.2,18.6,222,1.6,0,0,0,0,0,0.5,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","yahoo","Jay Cutler","CHI",22,27,"245.62",46.2,3889,22,17.1,224,1,0,0,0,0,0,0.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","yahoo","Joe Flacco","BAL",23,28,"244.42",38.7,3830,23.6,14.1,82.7,1.3,0,0,0,0,0,0.7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","yahoo","Demaryius Thomas","DEN",3,29,"241.70",0,0,0,0,0,0,104,168,1305,9.9,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ODELLBECKHAM","WR","yahoo","Odell Beckham Jr.","NYG",4,30,"238.89",7.8,0,0,0,51.6,0.2,103,161,1335,8,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","yahoo","Andy Dalton","CIN",24,31,"238.42",51.1,3634,21.8,16.6,150,1.8,0,0,0,0,0,0.6,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
