"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","points","passAtt","passYds","passTds","passInt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50"
"AUSTINSEFERIANJENKINS","TE","yahoo","Austin Seferian-Jenkins","TB",9,122,"139.23",0,0,0,0,0,0,59.3,88.1,768,5.6,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESJOHNSON","WR","yahoo","Charles Johnson","MIN",38,123,"139.20",0,0,0,0,0,0,57.1,96.1,830,4.7,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMMYWATKINS","WR","yahoo","Sammy Watkins","BUF",39,124,"139.16",4.4,0,0,0,29.2,0.1,57.2,110,778,5,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHHOCKER","K","yahoo","Zach Hocker","NO",5,125,"139.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,8.7,9.8,7.5,1.7
"JOSHSCOBEE","K","yahoo","Josh Scobee","PIT",6,126,"138.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,11.2,9.3,9.4,1.3
"MARQUESCOLSTON","WR","yahoo","Marques Colston","NO",40,127,"138.61",0,0,0,0,0,0,56.6,87.9,802,5.1,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVEJOHNSON","WR","yahoo","Stevie Johnson","SD",41,128,"138.27",0,0,0,0,0,0,57.8,87.2,770,5.5,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STLOUISRAMS","DST","yahoo","St. Louis Rams","STL",3,129,"137.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,0.5,13.3,10.7,0.1,4.9,NA,NA,NA,NA,NA
"TERRANCEWILLIAMS","WR","yahoo","Terrance Williams","DAL",42,130,"137.59",0,0,0,0,0,0,48.8,79.7,791,5.7,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONMCMANUS","K","yahoo","Brandon McManus","DEN",7,131,"136.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,6.9,7.6,7.3,3.6
"BALTIMORERAVENS","DST","yahoo","Baltimore Ravens","BAL",4,132,"136.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,0.1,12.1,10.5,0.7,2.9,NA,NA,NA,NA,NA
"GREGZUERLEIN","K","yahoo","Greg Zuerlein","STL",8,133,"136.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,6.6,11.4,6.2,5.2
"RANDYBULLOCK","K","yahoo","Randy Bullock","HOU",9,134,"135.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,6.9,10.3,9.9,3.6
"STEPHENGOSTKOWSKI","K","yahoo","Stephen Gostkowski","NE",10,135,"134.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,6.7,8.3,8.1,1.7
"STEVENHAUSCHKA","K","yahoo","Steven Hauschka","SEA",11,136,"134.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,9.9,9,7.2,1.9
"MASONCROSBY","K","yahoo","Mason Crosby","GB",12,137,"134.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,7.3,8.2,6.3,3.8
"HOUSTONTEXANS","DST","yahoo","Houston Texans","HOU",5,138,"133.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,0.5,15.4,11.9,0.5,3.1,NA,NA,NA,NA,NA
"MICHAELFLOYD","WR","yahoo","Michael Floyd","ARZ",43,139,"133.21",0,0,0,0,0,0,53.9,88.8,767,5.1,0,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVANTEPARKER","WR","yahoo","DeVante Parker","MIA",44,140,"132.52",0,0,0,0,0,0,55,86.4,762,4.9,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DELANIEWALKER","TE","yahoo","Delanie Walker","TEN",10,141,"131.37",0,0,0,0,0,0,60.8,92.5,699,5.4,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHANEVEREEN","RB","yahoo","Shane Vereen","NYG",39,142,"131.30",57.7,0,0,0,242,1.7,57.5,75.7,537,2.5,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEWASHINGTON","WR","yahoo","Nate Washington","HOU",45,143,"131.17",0,0,0,0,0,0,55,92.2,849,3.2,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANDLERCATANZARO","K","yahoo","Chandler Catanzaro","ARZ",13,144,"130.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,6.7,8.7,9.8,2
"JOSHLAMBO","K","yahoo","Josh Lambo","SD",14,145,"130.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,8.1,11.2,5.7,2.4
"RUEBENRANDLE","WR","yahoo","Rueben Randle","NYG",46,146,"130.65",0,0,0,0,0,0,55.7,89,769,4.3,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREWFRANKS","K","yahoo","Andrew Franks","MIA",15,147,"130.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,6.9,8.4,7.9,3.7
"TORREYSMITH","WR","yahoo","Torrey Smith","SF",47,148,"130.12",0,0,0,0,0,0,50.6,86.2,836,3.6,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAROLINAPANTHERS","DST","yahoo","Carolina Panthers","CAR",6,149,"130.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0.1,15.9,12.7,0.1,4.4,NA,NA,NA,NA,NA
"DANBAILEY","K","yahoo","Dan Bailey","DAL",16,150,"129.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,4.5,8.3,6.4,3.6
"DOUGBALDWIN","WR","yahoo","Doug Baldwin","SEA",48,151,"129.03",2.1,0,0,0,13.8,0,59.8,82.7,740,3.9,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAMGANO","K","yahoo","Graham Gano","CAR",17,152,"128.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,7.2,7.6,9.1,2.9
"HEATHMILLER","TE","yahoo","Heath Miller","PIT",11,153,"128.47",0,0,0,0,0,0,64.6,88.9,719,4.3,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWENGLANDPATRIOTS","DST","yahoo","New England Patriots","NE",7,154,"128.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,0.1,14.7,11.6,0.1,3.8,NA,NA,NA,NA,NA
"BLAIRWALSH","K","yahoo","Blair Walsh","MIN",18,155,"128.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,6.3,9.4,5.8,4.9
"DONTEMONCRIEF","WR","yahoo","Donte Moncrief","IND",49,156,"128.29",3.6,0,0,0,24.1,0.1,51.5,85.5,640,6,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWYORKJETS","DST","yahoo","New York Jets","NYJ",8,157,"128.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,0.5,13.8,13.4,0.1,2.8,NA,NA,NA,NA,NA
"PERCYHARVIN","WR","yahoo","Percy Harvin","BUF",50,158,"127.59",18.7,0,0,0,124,0.4,54.4,84.2,619,4.1,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAIROSANTOS","K","yahoo","Cairo Santos","KC",19,159,"127.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,7.9,9.4,8.6,1.5
"MATTPRATER","K","yahoo","Matt Prater","DET",20,160,"127.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,4.1,7.1,10.5,2.6
"DANCARPENTER","K","yahoo","Dan Carpenter","BUF",21,161,"127.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,7.4,8.4,8.6,3.1
"MICHAELCRABTREE","WR","yahoo","Michael Crabtree","OAK",51,162,"126.44",0,0,0,0,0,0,64.8,106,737,3.4,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANCAMERON","TE","yahoo","Jordan Cameron","MIA",12,163,"126.35",0,0,0,0,0,0,55.9,84.5,699,4.8,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBBIEGOULD","K","yahoo","Robbie Gould","CHI",22,164,"126.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,10.2,6.3,8,2.7
"PHILADELPHIAEAGLES","DST","yahoo","Philadelphia Eagles","PHI",9,165,"126.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,0.5,17.3,10.1,0.5,4.1,NA,NA,NA,NA,NA
"CODYPARKEY","K","yahoo","Cody Parkey","PHI",23,166,"126.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,8.6,8.4,6,1.7
"DENVERBRONCOS","DST","yahoo","Denver Broncos","DEN",10,167,"125.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,0.1,15.4,6.1,0.1,4.9,NA,NA,NA,NA,NA
"ZACHERTZ","TE","yahoo","Zach Ertz","PHI",13,168,"125.30",0,0,0,0,0,0,52.7,82.8,669,5.4,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKENUGENT","K","yahoo","Mike Nugent","CIN",24,169,"124.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,5,9.9,8.4,1.9
"NICKFOLK","K","yahoo","Nick Folk","NYJ",25,170,"124.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,8.3,7.9,8,2.6
"EDDIEROYAL","WR","yahoo","Eddie Royal","CHI",52,171,"123.61",0,0,0,0,0,0,59.6,98.6,717,3.8,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOMFLOYD","WR","yahoo","Malcom Floyd","SD",53,172,"123.28",0,0,0,0,0,0,42.2,68.3,739,4.7,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARKUSWHEATON","WR","yahoo","Markus Wheaton","PIT",54,173,"122.66",4.1,0,0,0,27.3,0.1,51,85.5,726,3.3,0,1.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARIZONACARDINALS","DST","yahoo","Arizona Cardinals","ARZ",11,174,"121.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,0.5,14.1,7,0.8,3.4,NA,NA,NA,NA,NA
"SEBASTIANJANIKOWSKI","K","yahoo","Sebastian Janikowski","OAK",26,175,"121.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,6.2,7.1,8.1,4.8
"TYLERLOCKETT","WR","yahoo","Tyler Lockett","SEA",55,176,"121.63",2.1,0,0,0,13.8,0,46.4,68.6,609,3.6,2.4,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUKEJOHNSON","RB","yahoo","Duke Johnson Jr.","CLE",40,177,"121.60",117,0,0,0,512,2.8,37.9,47.2,311,0.9,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLEBEASLEY","WR","yahoo","Cole Beasley","DAL",56,178,"120.84",0,0,0,0,0,0,55.8,88.3,679,4,0.7,0.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOIQUEBELL","RB","yahoo","Joique Bell","DET",41,179,"119.93",145,0,0,0,548,4.7,26.2,33.3,213,0.9,0,0.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESEANJACKSON","WR","yahoo","DeSean Jackson","WAS",57,180,"119.57",2.9,0,0,0,19.3,0.1,49.3,80.5,751,3,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMVINATIERI","K","yahoo","Adam Vinatieri","IND",27,181,"119.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,5.7,5.9,7.2,2.6
"NELSONAGHOLOR","WR","yahoo","Nelson Agholor","PHI",58,182,"118.90",0,0,0,0,0,0,53.5,86.6,639,4.8,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICEBRON","TE","yahoo","Eric Ebron","DET",14,183,"118.90",0,0,0,0,0,0,53.7,83.3,619,5.1,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIAMIDOLPHINS","DST","yahoo","Miami Dolphins","MIA",12,184,"117.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,0.5,14.3,10.4,0.1,4.1,NA,NA,NA,NA,NA
"JERMAINEKEARSE","WR","yahoo","Jermaine Kearse","SEA",59,185,"116.56",0,0,0,0,0,0,47.7,72,654,4.6,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANSUCCOP","K","yahoo","Ryan Succop","TEN",28,186,"116.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,6.9,8.9,6.8,1.5
"JASONMYERS","K","yahoo","Jason Myers","JAC",29,187,"116.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,4.6,9.4,8.3,3.1
"KYLEBRINDZA","K","yahoo","Kyle Brindza","TB",30,188,"114.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,4.1,7.7,7,4.5
"MARTAVISBRYANT","WR","yahoo","Martavis Bryant","PIT",60,189,"114.29",3,0,0,0,19.8,0,40.4,67.8,616,5.1,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DETROITLIONS","DST","yahoo","Detroit Lions","DET",13,190,"113.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,0.4,14.7,6.8,0.1,3.8,NA,NA,NA,NA,NA
"BILALPOWELL","RB","yahoo","Bilal Powell","NYJ",42,191,"113.00",94.9,0,0,0,398,1.9,42,56,336,1.4,0,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUSTINHOPKINS","K","yahoo","Dustin Hopkins","WAS",31,192,"112.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,7,7.8,8.5,1.6
"BRIANQUICK","WR","yahoo","Brian Quick","STL",61,193,"112.27",0,0,0,0,0,0,46,77,652,4,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWYORKGIANTS","DST","yahoo","New York Giants","NYG",14,194,"111.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,0.1,15.3,9.5,0.1,3.1,NA,NA,NA,NA,NA
"SANFRANCISCO49ERS","DST","yahoo","San Francisco 49ers","SF",15,195,"111.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,0.4,13.7,7.8,0.1,2.6,NA,NA,NA,NA,NA
"KYLERUDOLPH","TE","yahoo","Kyle Rudolph","MIN",15,196,"111.20",0,0,0,0,0,0,56.8,81.9,605,3.8,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VERNONDAVIS","TE","yahoo","Vernon Davis","SF",16,197,"110.57",0,0,0,0,0,0,49.2,80.8,648,3.6,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRICHOCOTCHERY","WR","yahoo","Jerricho Cotchery","CAR",62,198,"110.36",0,0,0,0,0,0,48.1,75.8,615,4.2,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEONARDHANKERSON","WR","yahoo","Leonard Hankerson","ATL",63,199,"110.20",0,0,0,0,0,0,49.8,77,632,3.7,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAVISCOONS","K","yahoo","Travis Coons","CLE",32,200,"110.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,7.6,8.4,5.9,2.8
"LARRYDONNELL","TE","yahoo","Larry Donnell","NYG",17,201,"109.88",0,0,0,0,0,0,50,74.7,575,4.7,0,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DWAYNEALLEN","TE","yahoo","Dwayne Allen","IND",18,202,"109.73",0,0,0,0,0,0,46.2,70.9,489,6.4,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREENBAYPACKERS","DST","yahoo","Green Bay Packers","GB",16,203,"109.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,0.1,13.6,8.5,0.2,2.4,NA,NA,NA,NA,NA
"JAREDCOOK","TE","yahoo","Jared Cook","STL",19,204,"109.69",0,0,0,0,0,0,52.5,79.9,644,3.2,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CINCINNATIBENGALS","DST","yahoo","Cincinnati Bengals","CIN",17,205,"109.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,0.4,14.1,7.7,0.1,3.5,NA,NA,NA,NA,NA
"JORDANNORWOOD","WR","yahoo","Jordan Norwood","DEN",64,206,"109.11",0,0,0,0,0,0,49.4,81.3,607,4,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRENFELLS","TE","yahoo","Darren Fells","ARZ",20,207,"107.74",0,0,0,0,0,0,45.1,62,550,5.1,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONLAFELL","WR","yahoo","Brandon LaFell","NE",65,208,"107.39",0,0,0,0,0,0,47.2,68.6,601,4,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CECILSHORTS","WR","yahoo","Cecil Shorts III","HOU",66,209,"107.07",2.1,0,0,0,14.2,0,48.8,84.1,632,3.1,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KANSASCITYCHIEFS","DST","yahoo","Kansas City Chiefs","KC",18,210,"106.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,0.1,6.9,6.4,0.1,3,NA,NA,NA,NA,NA
"CLEVELANDBROWNS","DST","yahoo","Cleveland Browns","CLE",19,211,"106.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,0.1,14.5,6.7,0.4,4.4,NA,NA,NA,NA,NA
"KENNYBRITT","WR","yahoo","Kenny Britt","STL",67,212,"105.59",0,0,0,0,0,0,42.9,73,643,3.4,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONNIEHILLMAN","RB","yahoo","Ronnie Hillman","DEN",43,213,"105.17",146,0,0,0,607,4.2,13.1,16.6,113,0.6,0,0.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRESHADPERRIMAN","WR","yahoo","Breshad Perriman","BAL",68,214,"103.95",0,0,0,0,0,0,42.1,73.7,584,4.2,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVINFUNCHESS","WR","yahoo","Devin Funchess","CAR",69,215,"103.91",0,0,0,0,0,0,44.7,75.6,563,4.3,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTAVIKINGS","DST","yahoo","Minnesota Vikings","MIN",20,216,"103.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,0.1,13.9,7,1.1,2.7,NA,NA,NA,NA,NA
"INDIANAPOLISCOLTS","DST","yahoo","Indianapolis Colts","IND",21,217,"103.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,0.9,14.4,10.4,0.1,1.3,NA,NA,NA,NA,NA
"VICTORCRUZ","WR","yahoo","Victor Cruz","NYG",70,218,"103.27",0,0,0,0,0,0,45.6,70.3,604,3.4,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENHURNS","WR","yahoo","Allen Hurns","JAC",71,219,"102.78",0,0,0,0,0,0,49.3,79.9,652,2.6,0,0.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAVONAUSTIN","WR","yahoo","Tavon Austin","STL",72,220,"102.77",29.5,0,0,0,208,1.5,32.4,54.4,322,1.5,2.6,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKSONVILLEJAGUARS","DST","yahoo","Jacksonville Jaguars","JAC",22,221,"102.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,1.4,9.8,11.4,1.1,2.4,NA,NA,NA,NA,NA
"CHARLESSIMS","RB","yahoo","Charles Sims","TB",44,222,"100.77",75.2,0,0,0,287,1.6,44.1,57.5,370,0.9,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIDJOHNSON","RB","yahoo","David Johnson","ARZ",45,223,"100.56",60.8,0,0,0,244,2.1,33.3,41.6,314,2.2,0.5,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMPABAYBUCCANEERS","DST","yahoo","Tampa Bay Buccaneers","TB",23,224,"100.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,0.4,13.7,11.8,0.1,3.2,NA,NA,NA,NA,NA
"ANTONIOGATES","TE","yahoo","Antonio Gates","SD",21,225,"99.88",0,0,0,0,0,0,42.7,63.7,518,4.5,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESCLAY","TE","yahoo","Charles Clay","BUF",22,226,"99.58",0,0,0,0,0,0,49.3,75.4,538,3.5,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","yahoo","Geno Smith","NYJ",33,227,"98.65",21.2,1444,8.9,6.7,106,0.8,0,0,0,0,0,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNYAMENDOLA","WR","yahoo","Danny Amendola","NE",73,228,"98.60",0,0,0,0,0,0,50.4,70.9,510,3.2,0.7,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","yahoo","Julius Thomas","JAC",23,229,"97.52",0,0,0,0,0,0,49.1,74.1,552,3.1,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIANHOYER","QB","yahoo","Brian Hoyer","HOU",34,230,"96.51",13.2,1718,8.2,7.1,39.5,0.3,0,0,0,0,0,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWORLEANSSAINTS","DST","yahoo","New Orleans Saints","NO",24,231,"95.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,0.1,13.2,10.1,0.1,1.4,NA,NA,NA,NA,NA
"PITTSBURGHSTEELERS","DST","yahoo","Pittsburgh Steelers","PIT",25,232,"95.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0.4,9.3,6.9,0.1,3.8,NA,NA,NA,NA,NA
"RICHARDRODGERS","TE","yahoo","Richard Rodgers","GB",24,233,"94.59",1,0,0,0,11,0,41.8,59.2,466,4.4,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATLANTAFALCONS","DST","yahoo","Atlanta Falcons","ATL",26,234,"94.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,0.1,17.2,8.2,0.7,2.3,NA,NA,NA,NA,NA
"LANCEDUNBAR","RB","yahoo","Lance Dunbar","DAL",46,235,"93.95",22.1,0,0,0,88.7,0.6,49.7,58.5,440,1.8,0.4,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISTINEMICHAEL","RB","yahoo","Christine Michael","DAL",47,236,"93.47",132,0,0,0,565,4.4,7.8,9.6,63.9,0.4,0,0.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TENNESSEETITANS","DST","yahoo","Tennessee Titans","TEN",27,237,"92.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,0.1,13.7,5.9,0.1,4.2,NA,NA,NA,NA,NA
"JOSHROBINSON","RB","yahoo","Josh Robinson","IND",48,238,"92.23",103,0,0,0,419,2.7,22.1,27.1,182,1.1,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALLASCOWBOYS","DST","yahoo","Dallas Cowboys","DAL",28,239,"92.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0.1,12.7,10.4,0.1,2.7,NA,NA,NA,NA,NA
"DEXTERMCCLUSTER","RB","yahoo","Dexter McCluster","TEN",49,240,"91.68",47,0,0,0,191,1.1,35.3,44.8,322,1.4,1.4,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARRYDOUGLAS","WR","yahoo","Harry Douglas","TEN",74,241,"91.06",0,0,0,0,0,0,39.1,61.9,480,3.9,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
