"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"ZURLONTIPTON","RB","Zurlon Tipton","IND",276,276,0.1,0,0,0,0,0,0.2,0.9,0,0.1,1.1,0,NA,NA,NA
"ALONZOHARRIS","RB","Alonzo Harris","GB",293,293,0,0,0,0,0,0,0.3,1.1,0,0,0,0,NA,NA,NA
"BROCKOSWEILER","QB","Brock Osweiler","DEN",293,293,0,0.2,0.1,1.3,0,0,0,0,0,0,0,0,NA,NA,NA
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHASEDANIEL","QB","Chase Daniel","KC",293,293,0,0.2,0.1,1.1,0,0,0,0,0,0,0,0,NA,NA,NA
"CHASEREYNOLDS","RB","Chase Reynolds","STL",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAX",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DREWSTANTON","QB","Drew Stanton","ARI",293,293,0,0.2,0.1,1.1,0,0,0,0,0,0,0,0,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",293,293,0,0.1,0.1,1,0,0,0,0,0,0,0,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","SEA",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JAMESDEVELIN","RB","James Develin","NE",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",293,293,0,0.2,0.1,1.3,0,0,0,0,0,0,0,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOSHJOHNSON","QB","Josh Johnson","IND",293,293,0,0.2,0.1,1.1,0,0,0,0,0,0,0,0,NA,NA,NA
"KELLENCLEMENS","QB","Kellen Clemens","SD",293,293,0,0.2,0.1,1.3,0,0,0,0,0,0,0,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",293,293,0,0.2,0.1,1.1,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","BAL",293,293,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"ORLEANSDARKWA","RB","Orleans Darkwa","NYG",293,293,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RYANNASSIB","QB","Ryan Nassib","NYG",293,293,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"SCOTTTOLZIEN","QB","Scott Tolzien","GB",293,293,0,0.2,0.1,1.2,0,0,0,0,0,0,0,0,NA,NA,NA
"TERRONWARD","RB","Terron Ward","ATL",293,293,0,0,0,0,0,0,0.1,0.5,0,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",315,315,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",316,316,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",317,317,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",318,318,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NYJ",319,319,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
