"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"ALFREDBLUE","Alfred Blue","RB","HOU",23,97,NA,NA,NA,NA,NA,NA,NA,14,54,3.9,0,3,27,9,0,NA,0,7
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",23,97,NA,NA,NA,NA,NA,NA,NA,7,19,2.7,1,0,0,0,0,NA,0,7
"DARRENMCFADDEN","Darren McFadden","RB","OAK",23,97,NA,NA,NA,NA,NA,NA,NA,15,52,3.5,0,2,20,10,0,NA,0,7
"REGGIEWAYNE","Reggie Wayne","WR","IND",38,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,75,12.5,0,NA,0,7
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",38,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,71,17.8,0,NA,0,7
"GREGJENNINGS","Greg Jennings","WR","MIN",38,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,71,11.8,0,NA,0,7
"JARVISLANDRY","Jarvis Landry","WR","MIA",38,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,76,15.2,0,NA,0,7
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",10,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,1,NA,0,7
"THEORIDDICK","Theo Riddick","RB","DET",28,107,NA,NA,NA,NA,NA,NA,NA,4,15,3.8,0,4,50,12.5,0,NA,0,6
"BOBBYRAINEY","Bobby Rainey","RB","TB",28,107,NA,NA,NA,NA,NA,NA,NA,11,41,3.7,0,4,24,6,0,NA,0,6
