"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"DARRENMCFADDEN","RB","Darren McFadden","DAL",24,93,10.4,2.7,NA,0,0,0,14.3,54.1,0.3,2.2,18.6,0.1,0,0,0.1
"TAVONAUSTIN","WR","Tavon Austin","STL",32,94,10.39,5.4,NA,0,0,0,3.4,28.9,0.1,3.4,37.5,0.1,0.1,0,0
"DANNYWOODHEAD","RB","Danny Woodhead","SD",25,95,10.38,5.5,NA,0,0,0,5,22.2,0,4.5,40.9,0.3,0,0,0.1
"MELVINGORDON","RB","Melvin Gordon","SD",26,96,10.35,2.6,NA,0,0,0,16.4,69.9,0.1,2.2,15.7,0.1,0,0,0.3
"JULIUSTHOMAS","TE","Julius Thomas","JAX",7,97,10.08,6.7,NA,0,0,0,0,0,0,4.5,50.3,0.5,0,0,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",33,98,10.05,6.5,NA,0,0,0,0,0,0,4.1,63,0.3,0,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",34,99,10.03,7.6,NA,0,0,0,0,0,0,4.6,61.8,0.3,0,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",35,100,9.98,7.4,NA,0,0,0,0.2,1.1,0,4.3,62.6,0.2,0.1,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",8,101,9.91,6.5,NA,0,0,0,0,0,0,4.4,50.7,0.4,0,0,0
"TYLERLOCKETT","WR","Tyler Lockett","SEA",36,102,9.88,4.8,NA,0,0,0,0.6,4.1,0,3.3,44.7,0.5,0.1,0,0
"MARVINJONES","WR","Marvin Jones","CIN",37,103,9.82,6.1,NA,0,0,0,0.6,3.8,0,3.9,52.7,0.4,0,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",38,104,9.81,6.6,NA,0,0,0,0,0,0,4,57.7,0.3,0,0,0
"WILLIESNEAD","WR","Willie Snead","NO",39,105,9.71,6.2,NA,0,0,0,0,0,0,4.1,56.4,0.3,0,0,0
"TEDGINN","WR","Ted Ginn Jr.","CAR",40,106,9.68,5.9,NA,0,0,0,0.6,4.2,0,3.4,48,0.4,0,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",27,107,9.62,2.2,NA,0,0,0,13.2,54.9,0.3,1.7,13.7,0,0,0,0
"JASONWITTEN","TE","Jason Witten","DAL",9,108,9.51,7,NA,0,0,0,0,0,0,4.9,56.8,0.2,0,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",41,109,9.49,5.8,NA,0,0,0,0,0,0,3.7,51.5,0.4,0,0,0
"THEORIDDICK","RB","Theo Riddick","DET",28,109,9.49,6.2,NA,0,0,0,2.8,11,0,5,41.9,0.2,0,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",29,111,9.48,5.3,NA,0,0,0,5.7,26.6,0.2,3.9,31.8,0.1,0,0,0.1
"DAVANTEADAMS","WR","Davante Adams","GB",42,112,9.45,6.5,NA,0,0,0,0,0,0,3.9,53.7,0.4,0,0,0
