"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"119","Chris Thompson","RB44","8","113","128","120.8","5.7","CHRISTHOMPSON"
"120","Travis Benjamin","WR49","11","67","166","121.0","42.1","TRAVISBENJAMIN"
"121","Marvin Jones","WR50","7","107","136","121.3","12.5","MARVINJONES"
"122","Roddy White","WR51","10","120","127","121.8","3.0","RODDYWHITE"
"123","Isaiah Crowell","RB45","11","101","150","122.5","20.4","ISAIAHCROWELL"
"124","Jay Cutler","QB15","7","91","112","98.3","9.7","JAYCUTLER"
"125","Terrance Williams","WR52","6","119","129","124.0","5.0","TERRANCEWILLIAMS"
"126","Rueben Randle","WR53","11","110","141","124.3","14.4","RUEBENRANDLE"
"127","Torrey Smith","WR54","10","111","154","126.5","17.7","TORREYSMITH"
"128","Heath Miller","TE14","11","109","147","128.8","13.7","HEATHMILLER"
"129","Julius Thomas","TE15","8","71","156","130.5","34.7","JULIUSTHOMAS"
"130","Rashad Jennings","RB46","11","132","134","133.0","1.0","RASHADJENNINGS"
"131","Marques Colston","WR55","11","129","144","133.3","6.3","MARQUESCOLSTON"
"132","Dorial Green-Beckham","WR56","4","116","146","134.3","12.3","DORIALGREENBECKHAM"
"133","Andre Johnson","WR57","10","121","158","134.3","15.2","ANDREJOHNSON"
"134","Darren Sproles","RB47","8","118","148","134.5","10.8","DARRENSPROLES"
"135","Ryan Tannehill","QB16","5","95","135","114.0","16.4","RYANTANNEHILL"
"136","Matthew Stafford","QB17","9","81","155","119.7","30.3","MATTHEWSTAFFORD"
"137","Markus Wheaton","WR58","11","130","152","140.8","8.4","MARKUSWHEATON"
"138","Nelson Agholor","WR59","8","130","152","141.8","8.0","NELSONAGHOLOR"
"139","Andre Ellington","RB48","9","122","170","143.0","18.1","ANDREELLINGTON"
"140","Tevin Coleman","RB49","10","90","172","143.3","33.6","TEVINCOLEMAN"
"141","Kyle Rudolph","TE16","5","109","149","124.3","17.6","KYLERUDOLPH"
"142","Leonard Hankerson","WR60","10","137","163","146.0","10.0","LEONARDHANKERSON"
"143","Joique Bell","RB50","9","124","170","146.8","20.9","JOIQUEBELL"
"144","Tyler Lockett","WR61","9","140","167","148.5","10.8","TYLERLOCKETT"
