"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"152","Ahmad Bradshaw","RB40","vs.  TB","106","179","147.4","16.7","AHMADBRADSHAW"
"153","Spencer Ware","RB41","vs.  BUF","77","178","138.5","36.7","SPENCERWARE"
"154","James White","RB42","at  DEN","106","173","139.2","21.9","JAMESWHITE"
"155","Vernon Davis","TE21","vs.  NE","80","176","145.5","20.6","VERNONDAVIS"
"156","Karlos Williams","RB43","at  KC","122","178","148.9","12.7","KARLOSWILLIAMS"
"157","Chris Givens","WR64","at  CLE","94","176","148.2","19.0","CHRISGIVENS"
"158","Kendall Wright","WR65","vs.  OAK","81","155","125.6","23.3","KENDALLWRIGHT"
"159","Coby Fleener","TE22","vs.  TB","113","180","148.6","20.6","COBYFLEENER"
"160","C.J. Anderson","RB44","vs.  NE","128","178","153.5","11.1","CJANDERSON"
"161","T.J. Yates","QB30","vs.  NO","28","73","53.4","15.6","TJYATES"
"162","Harry Douglas","WR66","vs.  OAK","116","165","150.3","12.8","HARRYDOUGLAS"
"163","Andre Ellington","RB45","at  SF","111","170","155.3","11.9","ANDREELLINGTON"
"164","Roddy White","WR67","vs.  MIN","119","168","158.6","11.0","RODDYWHITE"
"165","Ameer Abdullah","RB46","vs.  PHI","113","179","159.0","18.6","AMEERABDULLAH"
"166","Lance Moore","WR68","vs.  PHI","134","168","157.9","9.1","LANCEMOORE"
"167","Josh McCown","QB31","vs.  BAL","28","73","58.6","15.7","JOSHMCCOWN"
"168","Mike Wallace","WR69","at  ATL","150","176","164.4","5.7","MIKEWALLACE"
"169","Jordan Cameron","TE23","at  NYJ","129","179","155.0","13.7","JORDANCAMERON"
"170","Ryan Mathews","RB47","at  DET","106","176","151.9","21.6","RYANMATHEWS"
"171","Sam Bradford","QB32","at  DET","52","83","70.6","10.1","SAMBRADFORD"
"172","Brent Celek","TE24","at  DET","114","178","155.9","18.6","BRENTCELEK"
"173","Matt Schaub","QB33","at  CLE","73","113","101.0","13.1","MATTSCHAUB"
"174","Zach Ertz","TE25","at  DET","142","176","158.7","9.8","ZACHERTZ"
"175","Jonathan Grimes","RB48","vs.  NO","105","178","164.3","17.9","JONATHANGRIMES"
"176","Tevin Coleman","RB49","vs.  MIN","100","177","156.2","25.5","TEVINCOLEMAN"
"177","Cody Latimer","WR70","vs.  NE","132","177","164.7","12.4","CODYLATIMER"
"178","Kenny Stills","WR71","at  NYJ","147","173","164.8","7.9","KENNYSTILLS"
"179","Austin Seferian-Jenkins","TE26","at  IND","133","180","156.5","15.7","AUSTINSEFERIANJENKINS"
"180","C.J. Spiller","RB50","at  HOU","134","179","163.0","13.4","CJSPILLER"
"181","Wes Welker","WR72","at  CIN","137","177","160.6","9.0","WESWELKER"
"182","Brian Quick","WR73","at  CIN","148","176","166.8","7.6","BRIANQUICK"
"183","Bilal Powell","RB51","vs.  MIA","98","179","161.3","22.5","BILALPOWELL"
"184","Kenny Britt","WR74","at  CIN","145","176","165.2","9.5","KENNYBRITT"
"185","Chris Thompson","RB52","vs.  NYG","152","177","170.1","6.5","CHRISTHOMPSON"
"186","Dexter McCluster","RB53","vs.  OAK","130","179","164.0","13.5","DEXTERMCCLUSTER"
"187","Cole Beasley","WR75","vs.  CAR","154","177","165.5","7.4","COLEBEASLEY"
"188","Jermaine Kearse","WR76","vs.  PIT","150","169","162.7","5.8","JERMAINEKEARSE"
"189","Mohamed Sanu","WR77","vs.  STL","147","179","166.7","9.2","MOHAMEDSANU"
"190","Keshawn Martin","WR78","at  DEN","148","172","162.0","8.4","KESHAWNMARTIN"
"191","Clive Walford","TE27","at  TEN","146","174","155.6","9.6","CLIVEWALFORD"
"192","Torrey Smith","WR79","vs.  ARI","150","177","169.9","8.6","TORREYSMITH"
"193","J.J. Nelson","WR80","at  SF","135","177","158.8","18.0","JJNELSON"
"194","Owen Daniels","TE28","vs.  NE","142","180","159.0","15.6","OWENDANIELS"
"195","Dwayne Allen","TE29","vs.  TB","142","180","159.0","16.5","DWAYNEALLEN"
"196","Brian Hartline","WR81","vs.  BAL","154","172","167.3","6.2","BRIANHARTLINE"
"197","Aaron Dobson","WR82","at  DEN","104","161","136.3","23.9","AARONDOBSON"
"198","Isaiah Crowell","RB54","vs.  BAL","136","179","164.2","14.8","ISAIAHCROWELL"
"199","Blaine Gabbert","QB34","vs.  ARI","108","113","110.5","2.5","BLAINEGABBERT"
"200","Jay Ajayi","RB55","at  NYJ","158","179","171.0","7.4","JAYAJAYI"
"201","Marqise Lee","WR83","vs.  SD","136","177","165.4","15.1","MARQISELEE"
"202","Case Keenum","QB35","at  CIN","113","113","113.0","0.0","CASEKEENUM"
"203","Joique Bell","RB56","vs.  PHI","146","179","168.8","13.2","JOIQUEBELL"
"204","Ladarius Green","TE30","at  JAC","154","174","161.7","8.8","LADARIUSGREEN"
"205","Jared Cook","TE31","at  CIN","156","180","172.3","9.7","JAREDCOOK"
"206","Chris Hogan","WR84","at  KC","132","162","147.0","15.0","CHRISHOGAN"
"207","Alfred Morris","RB57","vs.  NYG","155","178","169.3","10.2","ALFREDMORRIS"
"208","Jeremy Kerley","WR85","vs.  MIA","154","168","161.0","7.0","JEREMYKERLEY"
"209","Josh Huff","WR86","at  DET","161","162","161.5","0.5","JOSHHUFF"
"210","Nelson Agholor","WR87","at  DET","158","171","164.5","6.5","NELSONAGHOLOR"
"211","Jaron Brown","WR88","at  SF","174","180","177.0","2.4","JARONBROWN"
"212","Jerricho Cotchery","WR89","at  DAL","167","176","171.5","4.5","JERRICHOCOTCHERY"
"213","Kyle Juszczyk","RB58","at  CLE","167","176","171.5","4.5","KYLEJUSZCZYK"
"214","Malcom Floyd","WR90","at  JAC","168","177","172.5","4.5","MALCOMFLOYD"
"215","Mike Tolbert","RB59","at  DAL","175","175","175.0","0.0","MIKETOLBERT"
"216","Marlon Brown","WR91","at  CLE","171","180","175.5","4.5","MARLONBROWN"
