"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"107","Jacob Tamme","TE9","at  TB","84","165","109.4","14.7","JACOBTAMME"
"108","Tavon Austin","WR42","vs.  ARI","78","140","110.8","11.1","TAVONAUSTIN"
"109","Devante Parker","WR43","vs.  BAL","68","140","109.9","14.7","DEVANTEPARKER"
"110","Kendall Wright","WR44","vs.  JAC","72","137","109.2","10.8","KENDALLWRIGHT"
"111","Theo Riddick","RB30","vs.  GB","51","168","113.5","15.5","THEORIDDICK"
"112","Benjamin Watson","TE10","vs.  CAR","77","165","112.8","14.8","BENJAMINWATSON"
"113","Alfred Blue","RB31","at  BUF","73","150","114.3","10.5","ALFREDBLUE"
"114","Michael Floyd","WR45","at  STL","89","162","114.2","11.5","MICHAELFLOYD"
"115","Austin Davis","QB29","vs.  CIN","44","87","73.2","11.0","AUSTINDAVIS"
"116","Duke Johnson","RB32","vs.  CIN","56","163","118.4","15.3","DUKEJOHNSON"
"117","Martellus Bennett","TE11","vs.  SF","71","162","116.4","16.0","MARTELLUSBENNETT"
"118","Devin Funchess","WR46","at  NO","88","155","120.0","12.5","DEVINFUNCHESS"
"119","Antonio Andrews","RB33","vs.  JAC","78","154","120.8","12.8","ANTONIOANDREWS"
"120","Kyle Rudolph","TE12","vs.  SEA","74","158","120.0","18.2","KYLERUDOLPH"
"121","Jason Witten","TE13","at  WAS","81","158","121.0","14.8","JASONWITTEN"
"122","Ted Ginn","WR47","at  NO","82","161","122.9","13.4","TEDGINN"
"123","Rueben Randle","WR48","vs.  NYJ","105","145","125.2","7.9","RUEBENRANDLE"
"124","Melvin Gordon","RB34","vs.  DEN","102","159","127.0","11.8","MELVINGORDON"
"125","Cecil Shorts","WR49","at  BUF","95","148","125.0","9.6","CECILSHORTS"
"126","Ameer Abdullah","RB35","vs.  GB","92","166","130.4","11.5","AMEERABDULLAH"
"127","Charles Sims","RB36","vs.  ATL","92","163","131.0","13.8","CHARLESSIMS"
"128","Spencer Ware","RB37","at  OAK","26","160","124.6","19.0","SPENCERWARE"
"129","Darren Sproles","RB38","at  NE","102","171","129.2","12.5","DARRENSPROLES"
"130","Alfred Morris","RB39","vs.  DAL","95","163","131.2","13.4","ALFREDMORRIS"
"131","Teddy Bridgewater","QB30","vs.  SEA","41","177","78.4","18.2","TEDDYBRIDGEWATER"
"132","Matt Jones","RB40","vs.  DAL","108","167","134.8","12.5","MATTJONES"
"133","Pierre Garcon","WR50","vs.  DAL","100","164","133.5","10.2","PIERREGARCON"
"134","Shane Vereen","RB41","vs.  NYJ","106","159","133.8","10.3","SHANEVEREEN"
"135","Dontrelle Inman","WR51","vs.  DEN","106","162","133.2","11.9","DONTRELLEINMAN"
"136","James Starks","RB42","at  DET","61","161","136.7","14.2","JAMESSTARKS"
"137","Crockett Gillmore","TE14","at  MIA","62","174","133.7","17.1","CROCKETTGILLMORE"
"138","Nate Washington","WR52","at  BUF","68","162","136.0","12.9","NATEWASHINGTON"
"139","Richard Rodgers","TE15","at  DET","90","167","137.8","14.1","RICHARDRODGERS"
"140","Vance McDonald","TE16","at  CHI","99","175","132.1","18.0","VANCEMCDONALD"
"141","Tyler Lockett","WR53","at  MIN","107","171","140.5","11.8","TYLERLOCKETT"
"142","Matt Cassel","QB31","at  WAS","53","118","79.0","10.9","MATTCASSEL"
"143","Jamison Crowder","WR54","vs.  DAL","102","165","141.1","11.0","JAMISONCROWDER"
"144","Terrance Williams","WR55","at  WAS","114","171","146.1","11.9","TERRANCEWILLIAMS"
"145","Chris Givens","WR56","at  MIA","99","172","146.2","11.2","CHRISGIVENS"
"146","Brian Hartline","WR57","vs.  CIN","70","175","140.6","17.3","BRIANHARTLINE"
"147","Markus Wheaton","WR58","vs.  IND","104","170","147.0","12.2","MARKUSWHEATON"
"148","Jermaine Kearse","WR59","at  MIN","126","176","149.2","9.7","JERMAINEKEARSE"
"149","Rashad Jennings","RB43","vs.  NYJ","117","170","153.1","8.8","RASHADJENNINGS"
"150","Dorial Green-Beckham","WR60","vs.  JAC","126","172","148.3","10.2","DORIALGREENBECKHAM"
"151","James White","RB44","vs.  PHI","110","171","150.6","13.9","JAMESWHITE"
"152","Heath Miller","TE17","vs.  IND","86","175","133.0","15.7","HEATHMILLER"
"153","Brandon Bolden","RB45","vs.  PHI","87","172","153.6","14.6","BRANDONBOLDEN"
"154","Roddy White","WR61","at  TB","105","173","151.0","13.8","RODDYWHITE"
"155","Eric Ebron","TE18","vs.  GB","128","177","154.1","12.2","ERICEBRON"
"156","Marques Colston","WR62","vs.  CAR","95","176","153.3","20.1","MARQUESCOLSTON"
"157","Dwayne Harris","WR63","vs.  NYJ","113","175","157.4","11.8","DWAYNEHARRIS"
"158","Robert Woods","WR64","vs.  HOU","124","170","157.2","9.5","ROBERTWOODS"
"159","Keshawn Martin","WR65","vs.  PHI","113","171","153.8","11.4","KESHAWNMARTIN"
"160","Charles Clay","TE19","vs.  HOU","115","171","148.6","13.4","CHARLESCLAY"
