"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"ERICDECKER","Eric Decker","WR","NYJ",0,0,0,0,0,74,0,0,0,0,7.4,"5","5","94%","0"
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",0,0,0,0,0,50,1,0,0,0,11,"7","4","90%","0"
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",0,0,0,102,1,26,0,0,0,0,18.8,"5","3","98%","3"
"RUEBENRANDLE","Rueben Randle","WR","NYG",0,0,0,0,0,1,0,0,0,0,0.1,"3","2","79%","0"
"MICHAELCRABTREE","Michael Crabtree","WR","SF",0,0,0,0,0,25,0,0,0,0,2.5,"4","2","97%","0"
"JOIQUEBELL","Joique Bell","RB","DET",0,0,0,51,1,5,0,0,0,0,11.6,"1","1","92%","15"
"BRANDINCOOKS","Brandin Cooks","WR","NO",0,0,0,18,0,77,1,0,0,0,15.5,"8","7","89%","1"
"DENNISPITTA","Dennis Pitta","TE","BAL",0,0,0,0,0,83,0,0,0,0,8.3,"15","10","91%","0"
"VERNONDAVIS","Vernon Davis","TE","SF",0,0,0,0,0,44,2,0,0,0,16.4,"6","4","100%","0"
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",0,0,0,0,0,70,1,0,0,0,13,"10","8","86%","0"
"SHONNGREENE","Shonn Greene","RB","TEN",0,0,0,71,0,0,0,0,0,0,7.1,"0","0","32%","15"
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",0,0,0,0,0,89,1,0,0,0,14.9,"5","4","73%","0"
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",0,0,0,0,0,97,1,0,0,0,15.7,"10","4","94%","0"
"MAURICEJ","Maurice J","RB","ONE",0,0,0,11,0,12,0,0,0,0,2.3,"3","2","87%","9"
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",0,0,0,0,0,92,1,0,0,0,15.2,"8","6","79%","0"
"JORDANREED","Jordan Reed","TE","WAS",0,0,0,0,0,4,0,0,0,0,0.4,"1","1","90%","0"
"BRIANHARTLINE","Brian Hartline","WR","MIA",0,0,0,0,0,26,0,0,0,0,2.6,"4","2","55%","0"
