"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JASONWITTEN","TE","Jason Witten","DAL",3,55,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",9,65,10,NA,NA,NA,NA,NA,15,60,0,6,40,0,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",9,65,10,NA,NA,NA,NA,NA,10,40,1,0,0,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",9,65,10,NA,NA,NA,NA,NA,16,70,0,4,30,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",9,65,10,NA,NA,NA,NA,NA,23,80,0,3,20,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",26,65,10,NA,NA,NA,NA,NA,NA,NA,NA,3,40,1,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",8,65,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",8,65,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",8,65,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",13,73,9,NA,NA,NA,NA,NA,14,60,0,4,30,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",27,74,8,NA,NA,NA,NA,NA,NA,NA,NA,6,80,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",14,75,7,NA,NA,NA,NA,NA,10,40,0,4,30,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",14,75,7,NA,NA,NA,NA,NA,18,70,0,0,0,0,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",28,75,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",28,75,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",28,75,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",16,80,6,NA,NA,NA,NA,NA,13,50,0,1,10,0,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",31,80,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",17,88,5,NA,NA,NA,NA,NA,9,40,0,1,10,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",17,88,5,NA,NA,NA,NA,NA,5,20,0,4,30,0,NA,NA,NA
