"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DREWSTANTON","Drew Stanton","QB","ARI",28,56,38,23,282,1,2,60.5,7.4,1,1,1,0,NA,NA,NA,NA,NA,0,13
"REGGIEBUSH","Reggie Bush","RB","DET",12,56,NA,NA,NA,NA,NA,NA,NA,19,91,4.8,0,5,41,8.2,0,NA,0,13
"BISHOPSANKEY","Bishop Sankey","RB","TEN",12,56,NA,NA,NA,NA,NA,NA,NA,15,69,4.6,1,2,19,9.5,0,NA,0,13
"MONTEEBALL","Montee Ball","RB","DEN",12,56,NA,NA,NA,NA,NA,NA,NA,16,61,3.8,1,3,19,6.3,0,NA,0,13
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,1,NA,0,13
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,133,22.2,0,NA,0,13
"REGGIEWAYNE","Reggie Wayne","WR","IND",16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,79,15.8,1,NA,0,13
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,1,NA,0,13
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,71,10.1,1,NA,0,13
"HEATHMILLER","Heath Miller","TE","PIT",3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,72,12,1,NA,0,13
"ANDREELLINGTON","Andre Ellington","RB","ARI",15,67,NA,NA,NA,NA,NA,NA,NA,17,82,4.8,0,5,41,8.2,0,NA,0,12
"JUSTINFORSETT","Justin Forsett","RB","BAL",15,67,NA,NA,NA,NA,NA,NA,NA,14,59,4.2,1,4,16,4,0,NA,0,12
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",15,67,NA,NA,NA,NA,NA,NA,NA,10,47,4.7,1,3,21,7,0,NA,0,12
"KHIRYROBINSON","Khiry Robinson","RB","NO",15,67,NA,NA,NA,NA,NA,NA,NA,16,69,4.3,1,2,9,4.5,0,NA,0,12
"MATTASIATA","Matt Asiata","RB","MIN",15,67,NA,NA,NA,NA,NA,NA,NA,14,48,3.4,1,4,28,7,0,NA,0,12
"GOLDENTATE","Golden Tate","WR","DET",20,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,121,17.3,0,NA,0,12
"LARRYDONNELL","Larry Donnell","TE","NYG",5,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,60,8.6,1,NA,0,12
"ANTONIOGATES","Antonio Gates","TE","SD",5,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,15.2,1,NA,0,12
"DOUGMARTIN","Doug Martin","RB","TB",20,75,NA,NA,NA,NA,NA,NA,NA,15,49,3.3,1,3,19,6.3,0,NA,0,11
"ARIANFOSTER","Arian Foster","RB","HOU",20,75,NA,NA,NA,NA,NA,NA,NA,8,33,4.1,1,5,29,5.8,0,NA,0,11
"VINCENTJACKSON","Vincent Jackson","WR","TB",21,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,14.8,1,NA,0,11
"TRAVISKELCE","Travis Kelce","TE","KC",7,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,11.6,1,NA,0,11
"DELANIEWALKER","Delanie Walker","TE","TEN",7,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,14.8,1,NA,0,11
"CHRISIVORY","Chris Ivory","RB","NYJ",22,80,NA,NA,NA,NA,NA,NA,NA,17,80,4.7,0,2,24,12,0,NA,0,10
"BENTATE","Ben Tate","RB","CLE",22,80,NA,NA,NA,NA,NA,NA,NA,12,49,4.1,1,1,9,9,0,NA,0,10
"SHANEVEREEN","Shane Vereen","RB","NE",22,80,NA,NA,NA,NA,NA,NA,NA,7,28,4,1,4,29,7.2,0,NA,0,10
"SAMMYWATKINS","Sammy Watkins","WR","BUF",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,102,20.4,0,NA,0,10
"RODDYWHITE","Roddy White","WR","ATL",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,11.8,1,NA,0,10
"MARQUESCOLSTON","Marques Colston","WR","NO",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,49,12.2,1,NA,0,10
"PERCYHARVIN","Percy Harvin","WR","SEA",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,72,18,0,NA,0,10
"TYHILTON","T.Y. Hilton","WR","IND",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,92,15.3,0,NA,0,10
"JULIANEDELMAN","Julian Edelman","WR","NE",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,92,18.4,0,NA,0,10
"MICHAELFLOYD","Michael Floyd","WR","ARI",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,11.8,1,NA,0,10
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,49,12.2,1,NA,0,10
"EDDIEROYAL","Eddie Royal","WR","SD",22,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49,9.8,1,NA,0,10
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",9,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,49,12.2,1,NA,0,10
"JORDANCAMERON","Jordan Cameron","TE","CLE",9,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,49,12.2,1,NA,0,10
"KIRKCOUSINS","Kirk Cousins","QB","WAS",30,94,38,26,328,0,2,68.4,8.6,2,5,2.5,0,NA,NA,NA,NA,NA,0,9
"FREDJACKSON","Fred Jackson","RB","BUF",25,94,NA,NA,NA,NA,NA,NA,NA,5,19,3.8,0,4,29,7.2,1,NA,0,9
"CJSPILLER","C.J. Spiller","RB","BUF",25,94,NA,NA,NA,NA,NA,NA,NA,14,63,4.5,0,3,31,10.3,0,NA,0,9
"BRANDINCOOKS","Brandin Cooks","WR","NO",31,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,81,11.6,0,NA,0,9
"WESWELKER","Wes Welker","WR","DEN",31,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"RUEBENRANDLE","Rueben Randle","WR","NYG",31,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,91,15.2,0,NA,0,9
"GREGOLSEN","Greg Olsen","TE","CAR",11,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,0,NA,0,9
"GARRETTGRAHAM","Garrett Graham","TE","HOU",11,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,10.7,1,NA,0,9
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",27,102,NA,NA,NA,NA,NA,NA,NA,15,71,4.7,0,1,11,11,0,NA,0,8
"JEREMYHILL","Jeremy Hill","RB","CIN",27,102,NA,NA,NA,NA,NA,NA,NA,6,29,4.8,1,1,7,7,0,NA,0,8
"ANDREWILLIAMS","Andre Williams","RB","NYG",27,102,NA,NA,NA,NA,NA,NA,NA,7,29,4.1,1,1,4,4,0,NA,0,8
"TOBYGERHART","Toby Gerhart","RB","JAC",27,102,NA,NA,NA,NA,NA,NA,NA,9,24,2.7,1,2,9,4.5,0,NA,0,8
"BRIANQUICK","Brian Quick","WR","STL",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,1,NA,0,8
"MALCOMFLOYD","Malcom Floyd","WR","SD",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,88,22,0,NA,0,8
"ANDREJOHNSON","Andre Johnson","WR","HOU",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,82,16.4,0,NA,0,8
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,81,16.2,0,NA,0,8
"ALLENROBINSON","Allen Robinson","WR","JAC",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,82,16.4,0,NA,0,8
"PIERREGARCON","Pierre Garcon","WR","WAS",34,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,81,16.2,0,NA,0,8
"OWENDANIELS","Owen Daniels","TE","BAL",13,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,81,16.2,0,NA,0,8
"ZACHERTZ","Zach Ertz","TE","PHI",13,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,0,NA,0,8
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",31,114,NA,NA,NA,NA,NA,NA,NA,16,71,4.4,0,0,0,0,0,NA,0,7
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",31,114,NA,NA,NA,NA,NA,NA,NA,12,51,4.2,0,3,21,7,0,NA,0,7
"DONALDBROWN","Donald Brown","RB","SD",31,114,NA,NA,NA,NA,NA,NA,NA,16,51,3.2,0,4,28,7,0,NA,0,7
"STEVENJACKSON","Steven Jackson","RB","ATL",31,114,NA,NA,NA,NA,NA,NA,NA,15,61,4.1,0,1,11,11,0,NA,0,7
"KNILEDAVIS","Knile Davis","RB","KC",31,114,NA,NA,NA,NA,NA,NA,NA,11,51,4.6,0,3,29,9.7,0,NA,0,7
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",40,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,14.4,0,NA,0,7
"ERICDECKER","Eric Decker","WR","NYJ",40,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,71,17.8,0,NA,0,7
"DESEANJACKSON","DeSean Jackson","WR","WAS",40,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,62,15.5,0,NA,0,7
"TORREYSMITH","Torrey Smith","WR","BAL",40,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,76,19,0,NA,0,7
"GREGJENNINGS","Greg Jennings","WR","MIN",40,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"JASONWITTEN","Jason Witten","TE","DAL",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"DWAYNEALLEN","Dwayne Allen","TE","IND",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.3,1,NA,0,7
"CLAYHARBOR","Clay Harbor","TE","JAC",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.3,1,NA,0,7
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
