"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"TRAVISKELCE","TE","Travis Kelce","KC",9,80,10.5,NA,NA,0,0,0,NA,0,0,NA,45,1,NA,0,0
"DANHERRON","RB","Dan Herron","IND",21,82,10.4,NA,NA,0,0,0,NA,33,1,NA,11,0,NA,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",27,83,10.36,NA,NA,239,1,2,NA,8,0,NA,0,0,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",28,84,10.02,NA,NA,183,1,2,NA,27,0,NA,0,0,NA,0,0
"JORDANREED","TE","Jordan Reed","WAS",10,85,10,NA,NA,0,0,0,NA,0,0,NA,40,1,NA,0,0
"OWENDANIELS","TE","Owen Daniels","BAL",11,86,9.9,NA,NA,0,0,0,NA,0,0,NA,39,1,NA,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",11,86,9.9,NA,NA,0,0,0,NA,0,0,NA,39,1,NA,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",13,88,9.5,NA,NA,0,0,0,NA,0,0,NA,35,1,NA,0,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",27,89,9.4,NA,NA,0,0,0,NA,0,0,NA,94,0,NA,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",28,90,9.2,NA,NA,0,0,0,NA,0,0,NA,32,1,NA,0,0
"ANDREWQUARLESS","TE","Andrew Quarless","GB",14,91,9.1,NA,NA,0,0,0,NA,0,0,NA,31,1,NA,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",22,92,8.6,NA,NA,0,0,0,NA,39,0,NA,67,0,NA,0,1
"SHANEVEREEN","RB","Shane Vereen","NE",23,93,8.5,NA,NA,0,0,0,NA,41,0,NA,44,0,NA,0,0
"PERCYHARVIN","WR","Percy Harvin","NYJ",29,93,8.5,NA,NA,0,0,0,NA,13,0,NA,72,0,NA,0,0
"TRENTRICHARDSON","RB","Trent Richardson","IND",24,95,8.4,NA,NA,0,0,0,NA,59,0,NA,25,0,NA,0,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",30,95,8.4,NA,NA,0,0,0,NA,0,0,NA,84,0,NA,0,0
"COBYFLEENER","TE","Coby Fleener","IND",15,97,8.2,NA,NA,0,0,0,NA,0,0,NA,82,0,NA,0,0
"FRANKGORE","RB","Frank Gore","SF",25,98,8,NA,NA,0,0,0,NA,67,0,NA,13,0,NA,0,0
"RODDYWHITE","WR","Roddy White","ATL",31,99,7.9,NA,NA,0,0,0,NA,0,0,NA,79,0,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",32,100,7.6,NA,NA,0,0,0,NA,0,0,NA,76,0,NA,0,0
"FREDJACKSON","RB","Fred Jackson","BUF",26,101,7.5,NA,NA,0,0,0,NA,54,0,NA,21,0,NA,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",27,102,7.4,NA,NA,0,0,0,NA,59,0,NA,15,0,NA,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","SF",33,103,7.2,NA,NA,0,0,0,NA,0,0,NA,72,0,NA,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",33,103,7.2,NA,NA,0,0,0,NA,0,0,NA,72,0,NA,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",35,105,7.1,NA,NA,0,0,0,NA,0,0,NA,71,0,NA,0,0
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",36,106,6.8,NA,NA,0,0,0,NA,0,0,NA,68,0,NA,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",37,107,6.7,NA,NA,0,0,0,NA,0,0,NA,67,0,NA,0,0
"STEVENJACKSON","RB","Steven Jackson","ATL",28,108,6.6,NA,NA,0,0,0,NA,51,0,NA,15,0,NA,0,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",28,108,6.6,NA,NA,0,0,0,NA,45,0,NA,21,0,NA,0,0
"BISHOPSANKEY","RB","Bishop Sankey","TEN",30,110,6.5,NA,NA,0,0,0,NA,48,0,NA,17,0,NA,0,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,111,6.4,NA,NA,0,0,0,NA,39,0,NA,25,0,NA,0,0
"ERICDECKER","WR","Eric Decker","NYJ",38,111,6.4,NA,NA,0,0,0,NA,0,0,NA,64,0,NA,0,0
"MARQISELEE","WR","Marqise Lee","JAX",38,111,6.4,NA,NA,0,0,0,NA,0,0,NA,64,0,NA,0,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",32,114,6.3,NA,NA,0,0,0,NA,58,0,NA,5,0,NA,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",40,114,6.3,NA,NA,0,0,0,NA,0,0,NA,63,0,NA,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",40,114,6.3,NA,NA,0,0,0,NA,8,0,NA,55,0,NA,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",16,114,6.3,NA,NA,0,0,0,NA,0,0,NA,63,0,NA,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",42,118,6.2,NA,NA,0,0,0,NA,0,0,NA,62,0,NA,0,0
"TOBYGERHART","RB","Toby Gerhart","JAX",33,119,6.1,NA,NA,0,0,0,NA,48,0,NA,13,0,NA,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO",43,119,6.1,NA,NA,0,0,0,NA,0,0,NA,61,0,NA,0,0
"KENNYSTILLS","WR","Kenny Stills","NO",43,119,6.1,NA,NA,0,0,0,NA,0,0,NA,61,0,NA,0,0
"DOUGBALDWIN","WR","Doug Baldwin","SEA",45,122,5.8,NA,NA,0,0,0,NA,0,0,NA,58,0,NA,0,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",45,122,5.8,NA,NA,0,0,0,NA,0,0,NA,58,0,NA,0,0
"CECILSHORTS","WR","Cecil Shorts","JAX",45,122,5.8,NA,NA,0,0,0,NA,0,0,NA,58,0,NA,0,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",48,125,5.7,NA,NA,0,0,0,NA,0,0,NA,57,0,NA,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",49,126,5.6,NA,NA,0,0,0,NA,0,0,NA,56,0,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB",34,127,5.5,NA,NA,0,0,0,NA,41,0,NA,14,0,NA,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",50,127,5.5,NA,NA,0,0,0,NA,0,0,NA,55,0,NA,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",51,129,5.3,NA,NA,0,0,0,NA,0,0,NA,53,0,NA,0,0
"NATEWASHINGTON","WR","Nate Washington","TEN",52,130,5.2,NA,NA,0,0,0,NA,0,0,NA,52,0,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",53,131,5.1,NA,NA,0,0,0,NA,0,0,NA,51,0,NA,0,0
"HAKEEMNICKS","WR","Hakeem Nicks","IND",53,131,5.1,NA,NA,0,0,0,NA,0,0,NA,51,0,NA,0,0
"HEATHMILLER","TE","Heath Miller","PIT",17,131,5.1,NA,NA,0,0,0,NA,0,0,NA,51,0,NA,0,0
"CHRISJOHNSON","RB","Chris Johnson","NYJ",35,134,5,NA,NA,0,0,0,NA,39,0,NA,11,0,NA,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",55,134,5,NA,NA,0,0,0,NA,0,0,NA,50,0,NA,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",55,134,5,NA,NA,0,0,0,NA,0,0,NA,50,0,NA,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",55,134,5,NA,NA,0,0,0,NA,0,0,NA,50,0,NA,0,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",58,138,4.9,NA,NA,0,0,0,NA,1,0,NA,48,0,NA,0,0
"JAMESJONES","WR","James Jones","OAK",58,138,4.9,NA,NA,0,0,0,NA,0,0,NA,49,0,NA,0,0
"VERNONDAVIS","TE","Vernon Davis","SF",18,138,4.9,NA,NA,0,0,0,NA,0,0,NA,49,0,NA,0,0
"DAVANTEADAMS","WR","Davante Adams","GB",60,141,4.8,NA,NA,0,0,0,NA,0,0,NA,48,0,NA,0,0
"SHONNGREENE","RB","Shonn Greene","TEN",36,142,4.7,NA,NA,0,0,0,NA,44,0,NA,3,0,NA,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",61,142,4.7,NA,NA,0,0,0,NA,6,0,NA,41,0,NA,0,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",61,142,4.7,NA,NA,0,0,0,NA,0,0,NA,47,0,NA,0,0
"CHARLESSIMS","RB","Charles Sims","TB",37,145,4.6,NA,NA,0,0,0,NA,30,0,NA,16,0,NA,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",63,145,4.6,NA,NA,0,0,0,NA,0,0,NA,46,0,NA,0,0
"CHARLESCLAY","TE","Charles Clay","MIA",19,145,4.6,NA,NA,0,0,0,NA,0,0,NA,46,0,NA,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",38,148,4.5,NA,NA,0,0,0,NA,36,0,NA,9,0,NA,0,0
"WESWELKER","WR","Wes Welker","DEN",64,148,4.5,NA,NA,0,0,0,NA,0,0,NA,45,0,NA,0,0
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",39,150,4.4,NA,NA,0,0,0,NA,32,0,NA,12,0,NA,0,0
"KENNYBRITT","WR","Kenny Britt","STL",65,150,4.4,NA,NA,0,0,0,NA,0,0,NA,44,0,NA,0,0
"CHRISGIVENS","WR","Chris Givens","STL",65,150,4.4,NA,NA,0,0,0,NA,0,0,NA,44,0,NA,0,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",40,153,4.3,NA,NA,0,0,0,NA,33,0,NA,10,0,NA,0,0
"ANDREROBERTS","WR","Andre Roberts","WAS",67,153,4.3,NA,NA,0,0,0,NA,0,0,NA,43,0,NA,0,0
"BERNARDPIERCE","RB","Bernard Pierce","BAL",41,155,4.2,NA,NA,0,0,0,NA,33,0,NA,9,0,NA,0,0
"MICHAELFLOYD","WR","Michael Floyd","ARI",68,155,4.2,NA,NA,0,0,0,NA,0,0,NA,42,0,NA,0,0
"WILLTAUFOOU","RB","Will Ta'ufo'ou","JAX",42,157,4.1,NA,NA,0,0,0,NA,2,0,NA,39,0,NA,0,0
