"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"TEDGINN","Ted Ginn","WR","ARI",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",22,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"JACEAMARO","Jace Amaro","TE","NYJ",22,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,20,0,NA,0,2
"JOHNCARLSON","John Carlson","TE","ARI",22,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
"GARYBARNIDGE","Gary Barnidge","TE","CLE",22,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,12.5,0,NA,0,2
"ANTHONYFASANO","Anthony Fasano","TE","KC",22,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,10.5,0,NA,0,2
"ANTHONYDIXON","Anthony Dixon","RB","BUF",50,178,NA,NA,NA,NA,NA,NA,NA,7,18,2.6,0,2,7,3.5,0,NA,0,1
"BRYCEBROWN","Bryce Brown","RB","BUF",50,178,NA,NA,NA,NA,NA,NA,NA,5,18,3.6,0,1,6,6,0,NA,0,1
"LEONWASHINGTON","Leon Washington","RB","TEN",50,178,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,12,6,0,NA,0,1
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",50,178,NA,NA,NA,NA,NA,NA,NA,3,11,3.7,0,0,0,0,0,NA,0,1
"JORDANTODMAN","Jordan Todman","RB","JAC",50,178,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,12,4,0,NA,0,1
"BERNARDPIERCE","Bernard Pierce","RB","BAL",50,178,NA,NA,NA,NA,NA,NA,NA,4,16,4,0,0,0,0,0,NA,0,1
"LANCEDUNBAR","Lance Dunbar","RB","DAL",50,178,NA,NA,NA,NA,NA,NA,NA,2,8,4,0,2,13,6.5,0,NA,0,1
"JOSEPHRANDLE","Joseph Randle","RB","DAL",50,178,NA,NA,NA,NA,NA,NA,NA,4,15,3.8,0,0,0,0,0,NA,0,1
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",50,178,NA,NA,NA,NA,NA,NA,NA,2,11,5.5,0,0,0,0,0,NA,0,1
"BILALPOWELL","Bilal Powell","RB","NYJ",50,178,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,2,13,6.5,0,NA,0,1
"SHONNGREENE","Shonn Greene","RB","TEN",50,178,NA,NA,NA,NA,NA,NA,NA,5,17,3.4,0,0,0,0,0,NA,0,1
"ROBERTTURBIN","Robert Turbin","RB","SEA",50,178,NA,NA,NA,NA,NA,NA,NA,4,18,4.5,0,1,3,3,0,NA,0,1
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",77,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,17,0,NA,0,1
"BRENTONBERSIN","Brenton Bersin","WR","CAR",77,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,17,0,NA,0,1
"STEDMANBAILEY","Stedman Bailey","WR","STL",77,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,0,NA,0,1
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",77,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,11,0,NA,0,1
"KAMARAIKEN","Kamar Aiken","WR","BAL",77,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,16,0,NA,0,1
