"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"MARQUESCOLSTON","WR","Marques Colston","NO",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,8,70,1,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",16,66,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,66,13,NA,NA,NA,NA,NA,NA,NA,NA,7,70,1,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",20,76,12,NA,NA,NA,NA,NA,15,60,1,0,0,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",24,76,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",24,76,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",24,76,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",24,76,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",24,76,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",3,76,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,76,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",3,76,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",21,85,11,NA,NA,NA,NA,NA,8,40,1,1,10,0,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",29,85,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",29,85,11,NA,NA,NA,NA,NA,NA,NA,NA,3,50,1,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",29,85,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",29,85,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",29,85,11,NA,NA,NA,NA,NA,NA,NA,NA,3,50,1,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",6,85,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",6,85,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",6,85,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",6,85,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",6,85,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",22,96,10,NA,NA,NA,NA,NA,15,60,0,6,40,0,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",22,96,10,NA,NA,NA,NA,NA,10,40,1,0,0,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",22,96,10,NA,NA,NA,NA,NA,16,70,0,4,30,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",22,96,10,NA,NA,NA,NA,NA,23,80,0,3,20,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",34,96,10,NA,NA,NA,NA,NA,NA,NA,NA,3,40,1,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",11,96,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",11,96,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",11,96,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",11,96,10,NA,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",26,105,9,NA,NA,NA,NA,NA,14,60,0,4,30,0,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",27,106,8,NA,NA,NA,NA,NA,11,40,0,6,40,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",35,106,8,NA,NA,NA,NA,NA,NA,NA,NA,6,80,0,NA,NA,NA
