"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",0,0,0,NA,NA,NA,NA,NA,19,75,0,2,14,0,NA,NA,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",0,0,0,NA,NA,NA,NA,NA,20,74,0,1,5,0,NA,NA,0
"FRANKGORE","RB","Frank Gore","SF",0,0,0,NA,NA,NA,NA,NA,20,73,0,2,12,0,NA,NA,0
"MATTFORTE","RB","Matt Forte","CHI",0,0,0,NA,NA,NA,NA,NA,17,73,1,5,39,0,NA,NA,0
"LAMARMILLER","RB","Lamar Miller","MIA",0,0,0,NA,NA,NA,NA,NA,17,71,0,4,26,0,NA,NA,0
"KERWYNNWILLIAMS","RB","Kerwynn Williams","ARI",0,0,0,NA,NA,NA,NA,NA,14,70,0,2,11,0,NA,NA,0
"DOUGMARTIN","RB","Doug Martin","TB",0,0,0,NA,NA,NA,NA,NA,17,65,0,2,10,0,NA,NA,0
"DANHERRON","RB","Dan Herron","IND",0,0,0,NA,NA,NA,NA,NA,12,64,0,3,19,0,NA,NA,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",0,0,0,NA,NA,NA,NA,NA,17,64,1,0,2,0,NA,NA,0
"MARKINGRAM","RB","Mark Ingram","NO",0,0,0,NA,NA,NA,NA,NA,16,61,1,2,7,0,NA,NA,0
"MATTASIATA","RB","Matt Asiata","MIN",0,0,0,NA,NA,NA,NA,NA,16,60,1,3,18,0,NA,NA,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",0,0,0,NA,NA,NA,NA,NA,15,59,1,3,16,0,NA,NA,0
"JOIQUEBELL","RB","Joique Bell","DET",0,0,0,NA,NA,NA,NA,NA,15,57,1,4,34,0,NA,NA,0
"BRANDENOLIVER","RB","Branden Oliver","SD",0,0,0,NA,NA,NA,NA,NA,14,55,0,3,21,0,NA,NA,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",0,0,0,NA,NA,NA,NA,NA,15,53,0,2,8,0,NA,NA,0
"CHRISIVORY","RB","Chris Ivory","NYJ",0,0,0,NA,NA,NA,NA,NA,13,52,1,1,5,0,NA,NA,0
"TREMASON","RB","Tre Mason","STL",0,0,0,NA,NA,NA,NA,NA,15,50,0,3,14,0,NA,NA,0
"STEVENJACKSON","RB","Steven Jackson","ATL",0,0,0,NA,NA,NA,NA,NA,13,50,0,1,12,0,NA,NA,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",0,0,0,NA,NA,NA,NA,NA,9,46,0,2,10,0,NA,NA,0
"BISHOPSANKEY","RB","Bishop Sankey","TEN",0,0,0,NA,NA,NA,NA,NA,11,44,0,1,5,0,NA,NA,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",0,0,0,NA,NA,NA,NA,NA,9,43,0,5,37,0,NA,NA,0
"JONASGRAY","RB","Jonas Gray","NE",0,0,0,NA,NA,NA,NA,NA,10,42,0,1,1,0,NA,NA,0
"CHRISJOHNSON","RB","Chris Johnson","NYJ",0,0,0,NA,NA,NA,NA,NA,10,41,0,2,9,0,NA,NA,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",0,0,0,NA,NA,NA,NA,NA,10,39,0,1,9,0,NA,NA,0
"FREDJACKSON","RB","Fred Jackson","BUF",0,0,0,NA,NA,NA,NA,NA,11,36,0,7,54,0,NA,NA,0
"ALFREDBLUE","RB","Alfred Blue","HOU",0,0,0,NA,NA,NA,NA,NA,8,33,0,0,0,0,NA,NA,0
"REGGIEBUSH","RB","Reggie Bush","DET",0,0,0,NA,NA,NA,NA,NA,7,31,0,5,39,0,NA,NA,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",0,0,0,NA,NA,NA,NA,NA,6,29,0,3,25,0,NA,NA,0
"STORMJOHNSON","RB","Storm Johnson","JAC",0,0,0,NA,NA,NA,NA,NA,8,28,0,0,0,0,NA,NA,0
"JORDANTODMAN","RB","Jordan Todman","JAC",0,0,0,NA,NA,NA,NA,NA,7,26,0,3,23,0,NA,NA,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",0,0,0,NA,NA,NA,NA,NA,5,24,0,1,4,0,NA,NA,0
"SHANEVEREEN","RB","Shane Vereen","NE",0,0,0,NA,NA,NA,NA,NA,6,23,0,3,24,0,NA,NA,0
"SHONNGREENE","RB","Shonn Greene","TEN",0,0,0,NA,NA,NA,NA,NA,7,23,0,0,2,0,NA,NA,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",0,0,0,NA,NA,NA,NA,NA,5,22,0,0,0,0,NA,NA,0
"TRENTRICHARDSON","RB","Trent Richardson","IND",0,0,0,NA,NA,NA,NA,NA,6,21,0,1,5,0,NA,NA,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",0,0,0,NA,NA,NA,NA,NA,3,21,0,0,0,0,NA,NA,0
"TERRANCEWEST","RB","Terrance West","CLE",0,0,0,NA,NA,NA,NA,NA,5,21,0,1,4,0,NA,NA,0
"DARRENSPROLES","RB","Darren Sproles","PHI",0,0,0,NA,NA,NA,NA,NA,4,20,0,3,28,0,NA,NA,0
"BERNARDPIERCE","RB","Bernard Pierce","BAL",0,0,0,NA,NA,NA,NA,NA,5,20,0,0,0,0,NA,NA,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",0,0,0,NA,NA,NA,NA,NA,4,20,0,0,0,0,NA,NA,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",0,0,0,NA,NA,NA,NA,NA,4,19,0,1,2,0,NA,NA,0
"JOEBANYARD","RB","Joe Banyard","MIN",0,0,0,NA,NA,NA,NA,NA,4,18,0,2,8,0,NA,NA,0
"JAMESSTARKS","RB","James Starks","GB",0,0,0,NA,NA,NA,NA,NA,6,18,0,2,13,0,NA,NA,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",0,0,0,NA,NA,NA,NA,NA,4,17,0,2,12,0,NA,NA,0
"CJSPILLER","RB","C.J. Spiller","BUF",0,0,0,NA,NA,NA,NA,NA,5,16,0,2,12,0,NA,NA,0
"LEONWASHINGTON","RB","Leon Washington","TEN",0,0,0,NA,NA,NA,NA,NA,4,16,0,4,35,0,NA,NA,0
"ORLEANSDARKWA","RB","Orleans Darkwa","MIA",0,0,0,NA,NA,NA,NA,NA,4,16,0,2,9,0,NA,NA,0
"KADEEMCAREY","RB","KaDeem Carey","CHI",0,0,0,NA,NA,NA,NA,NA,3,14,0,2,12,0,NA,NA,0
"KNILEDAVIS","RB","Knile Davis","KC",0,0,0,NA,NA,NA,NA,NA,3,13,0,1,12,0,NA,NA,0
"DAMIENWILLIAMS","RB","Damien Williams","MIA",0,0,0,NA,NA,NA,NA,NA,4,13,0,2,11,0,NA,NA,0
"DONALDBROWN","RB","Donald Brown","SD",0,0,0,NA,NA,NA,NA,NA,3,13,0,3,20,0,NA,NA,0
"ALFONSOSMITH","RB","Alfonso Smith","SF",0,0,0,NA,NA,NA,NA,NA,3,12,0,1,2,0,NA,NA,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",0,0,0,NA,NA,NA,NA,NA,3,12,0,1,3,0,NA,NA,0
"CHARLESSIMS","RB","Charles Sims","TB",0,0,0,NA,NA,NA,NA,NA,4,11,0,3,29,0,NA,NA,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",0,0,0,NA,NA,NA,NA,NA,2,10,0,0,0,0,NA,NA,0
"RYANMATHEWS","RB","Ryan Mathews","SD",0,0,0,NA,NA,NA,NA,NA,13,9,0,0,1,0,NA,NA,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",0,0,0,NA,NA,NA,NA,NA,2,9,0,3,17,0,NA,NA,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",0,0,0,NA,NA,NA,NA,NA,3,8,0,1,10,0,NA,NA,0
"MARIONGRICE","RB","Marion Grice","SD",0,0,0,NA,NA,NA,NA,NA,2,8,0,0,1,0,NA,NA,0
"BILALPOWELL","RB","Bilal Powell","NYJ",0,0,0,NA,NA,NA,NA,NA,2,8,0,2,8,0,NA,NA,0
"CHRISTHOMPSON","RB","Chris Thompson","WAS",0,0,0,NA,NA,NA,NA,NA,2,7,0,2,10,0,NA,NA,0
"RONNIEBROWN","RB","Ronnie Brown","SD",0,0,0,NA,NA,NA,NA,NA,2,7,0,0,0,0,NA,NA,0
"DEANTHONYTHOMAS","RB","DeAnthony Thomas","KC",0,0,0,NA,NA,NA,NA,NA,2,7,0,4,30,0,NA,NA,0
"BRYCEBROWN","RB","Bryce Brown","BUF",0,0,0,NA,NA,NA,NA,NA,1,7,0,1,3,0,NA,NA,0
"BENJAMINCUNNINGHAM","RB","Benjamin Cunningham","STL",0,0,0,NA,NA,NA,NA,NA,1,6,0,4,23,0,NA,NA,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",0,0,0,NA,NA,NA,NA,NA,9,6,0,0,1,0,NA,NA,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",0,0,0,NA,NA,NA,NA,NA,12,6,0,0,2,0,NA,NA,0
"TOBYGERHART","RB","Toby Gerhart","JAC",0,0,0,NA,NA,NA,NA,NA,11,6,0,0,2,0,NA,NA,0
"SILASREDD","RB","Silas Redd","WAS",0,0,0,NA,NA,NA,NA,NA,1,5,0,1,8,0,NA,NA,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",0,0,0,NA,NA,NA,NA,NA,1,4,0,0,0,0,NA,NA,0
"JOHNKUHN","RB","John Kuhn","GB",0,0,0,NA,NA,NA,NA,NA,1,4,0,1,1,0,NA,NA,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",0,0,0,NA,NA,NA,NA,NA,7,3,0,0,0,0,NA,NA,0
"REXBURKHEAD","RB","Rex Burkhead","CIN",0,0,0,NA,NA,NA,NA,NA,1,3,0,0,0,0,NA,NA,0
"TRAVARISCADET","RB","Travaris Cadet","NO",0,0,0,NA,NA,NA,NA,NA,1,3,0,4,23,0,NA,NA,0
"CARLOSHYDE","RB","Carlos Hyde","SF",0,0,0,NA,NA,NA,NA,NA,5,3,0,0,1,0,NA,NA,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",0,0,0,NA,NA,NA,NA,NA,3,3,0,1,4,0,NA,NA,0
"MARCELREECE","RB","Marcel Reece","OAK",0,0,0,NA,NA,NA,NA,NA,1,2,0,4,24,0,NA,NA,0
"THEORIDDICK","RB","Theo Riddick","DET",0,0,0,NA,NA,NA,NA,NA,1,2,0,2,7,0,NA,NA,0
"JAMESWHITE","RB","James White","NE",0,0,0,NA,NA,NA,NA,NA,8,2,0,0,1,0,NA,NA,0
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",0,0,0,NA,NA,NA,NA,NA,0,2,0,0,0,0,NA,NA,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",0,0,0,NA,NA,NA,NA,NA,5,2,0,0,1,0,NA,NA,0
"DARRELYOUNG","RB","Darrel Young","WAS",0,0,0,NA,NA,NA,NA,NA,1,2,0,1,2,0,NA,NA,0
"ZACSTACY","RB","Zac Stacy","STL",0,0,0,NA,NA,NA,NA,NA,1,2,0,0,0,0,NA,NA,0
"CHRISPOLK","RB","Chris Polk","PHI",0,0,0,NA,NA,NA,NA,NA,1,2,0,0,0,0,NA,NA,0
"MIKEJAMES","RB","Mike James","TB",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"DRIARCHER","RB","Dri Archer","PIT",0,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,0
"ROYHELU","RB","Roy Helu","WAS",0,0,0,NA,NA,NA,NA,NA,1,1,0,0,1,0,NA,NA,0
"BENTATE","RB","Ben Tate","MIN",0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,0
"ROBERTHUGHES","RB","Robert Hughes","ARI",0,0,0,NA,NA,NA,NA,NA,0,1,0,1,6,0,NA,NA,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",0,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,0
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",0,0,0,NA,NA,NA,NA,NA,3,1,0,0,0,0,NA,NA,0
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JAMESDEVELIN","RB","James Develin","NE",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"RAYAGNEW","RB","Ray Agnew","CLE",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"TYLERCLUTTS","RB","Tyler Clutts","DAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"SENORISEPERRY","RB","Senorise Perry","CHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"WILLTAUFOOU","RB","Will Taufoou","JAC",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,4,0,NA,NA,0
"JEROMEFELTON","RB","Jerome Felton","MIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JAYPROSCH","RB","Jay Prosch","HOU",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"TONYFIAMMETTA","RB","Tony Fiammetta","CHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,5,0,NA,NA,0
"BRUCEMILLER","RB","Bruce Miller","SF",0,0,0,NA,NA,NA,NA,NA,0,0,0,3,26,0,NA,NA,0
"HENRYHYNOSKI","RB","Henry Hynoski","NYG",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JAMIZEOLAWALE","RB","Jamize Olawale","OAK",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"ERIKLORIG","RB","Erik Lorig","NO",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"WILLJOHNSON","RB","Will Johnson","PIT",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
