"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"CARSONPALMER","QB","Carson Palmer","ARI",24,67,12.02,NA,NA,243,1,1,NA,3,0,NA,0,0,NA,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",22,68,12,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",22,68,12,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"JOIQUEBELL","RB","Joique Bell","DET",19,70,11.9,NA,NA,0,0,0,NA,47,1,NA,12,0,NA,0,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",19,70,11.9,NA,NA,0,0,0,NA,43,1,NA,16,0,NA,0,0
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",25,72,11.68,NA,NA,137,2,1,NA,2,0,NA,0,0,NA,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",5,73,11.6,NA,NA,0,0,0,NA,0,0,NA,56,1,NA,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",24,74,11.5,NA,NA,0,0,0,NA,2,0,NA,53,1,NA,0,0
"TYLERLOCKETT","WR","Tyler Lockett","SEA",24,74,11.5,NA,NA,0,0,0,NA,4,0,NA,51,1,NA,0,0
"TRAVISKELCE","TE","Travis Kelce","KC",6,74,11.5,NA,NA,0,0,0,NA,0,0,NA,55,1,NA,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",26,77,11.4,NA,NA,0,0,0,NA,0,0,NA,54,1,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",27,78,11.3,NA,NA,0,0,0,NA,3,0,NA,50,1,NA,0,0
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",21,79,11,NA,NA,0,0,0,NA,38,1,NA,12,0,NA,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",7,79,11,NA,NA,0,0,0,NA,0,0,NA,50,1,NA,0,0
"MATTSCHAUB","QB","Matt Schaub","BAL",26,81,10.96,NA,NA,224,1,1,NA,0,0,NA,0,0,NA,0,0
"ERICEBRON","TE","Eric Ebron","DET",8,82,10.9,NA,NA,0,0,0,NA,0,0,NA,49,1,NA,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",8,82,10.9,NA,NA,0,0,0,NA,0,0,NA,49,1,NA,0,0
"JULIUSTHOMAS","TE","Julius Thomas","JAC",8,82,10.9,NA,NA,0,0,0,NA,0,0,NA,49,1,NA,0,0
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",27,85,10.84,NA,NA,161,1,1,NA,24,0,NA,0,0,NA,0,0
"JAVORIUSALLEN","RB","Javorius Allen","BAL",22,86,10.7,NA,NA,0,0,0,NA,40,1,NA,27,0,NA,0,1
"DAVIDCOBB","RB","David Cobb","TEN",22,86,10.7,NA,NA,0,0,0,NA,38,1,NA,9,0,NA,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",22,86,10.7,NA,NA,0,0,0,NA,21,1,NA,26,0,NA,0,0
"AMEERABDULLAH","RB","Ameer Abdullah","DET",25,89,10.6,NA,NA,0,0,0,NA,34,1,NA,12,0,NA,0,0
"LADARIUSGREEN","TE","Ladarius Green","SD",11,90,10.5,NA,NA,0,0,0,NA,0,0,NA,45,1,NA,0,0
"DAVANTEADAMS","WR","Davante Adams","GB",28,91,10.4,NA,NA,0,0,0,NA,0,0,NA,44,1,NA,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",12,92,10.3,NA,NA,0,0,0,NA,0,0,NA,43,1,NA,0,0
"KENNYSTILLS","WR","Kenny Stills","MIA",29,93,10.1,NA,NA,0,0,0,NA,0,0,NA,41,1,NA,0,0
"AJMCCARRON","QB","AJ McCarron","CIN",28,94,10.06,NA,NA,194,1,1,NA,3,0,NA,0,0,NA,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",30,95,9.9,NA,NA,0,0,0,NA,0,0,NA,39,1,NA,0,0
"EDDIEROYAL","WR","Eddie Royal","CHI",31,96,9.8,NA,NA,0,0,0,NA,0,0,NA,38,1,NA,0,0
"BRANDONCOLEMAN","WR","Brandon Coleman","NO",32,97,9.6,NA,NA,0,0,0,NA,0,0,NA,36,1,NA,0,0
"TYHILTON","WR","T.Y. Hilton","IND",33,98,9.3,NA,NA,0,0,0,NA,3,0,NA,90,0,NA,0,0
"JORDANREED","TE","Jordan Reed","WAS",13,99,9.2,NA,NA,0,0,0,NA,0,0,NA,32,1,NA,0,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",26,100,9,NA,NA,0,0,0,NA,19,1,NA,11,0,NA,0,0
"CAMERONARTISPAYNE","RB","Cameron Artis-Payne","CAR",27,101,8.9,NA,NA,0,0,0,NA,21,1,NA,8,0,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","IND",34,102,8.7,NA,NA,0,0,0,NA,0,0,NA,27,1,NA,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",34,102,8.7,NA,NA,0,0,0,NA,2,0,NA,85,0,NA,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",14,102,8.7,NA,NA,0,0,0,NA,0,0,NA,27,1,NA,0,0
"RYANMATHEWS","RB","Ryan Mathews","PHI",28,105,8.6,NA,NA,0,0,0,NA,70,0,NA,16,0,NA,0,0
"MIKEWALLACE","WR","Mike Wallace","MIN",36,106,8.5,NA,NA,0,0,0,NA,2,0,NA,83,0,NA,0,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",29,107,8.3,NA,NA,0,0,0,NA,75,0,NA,8,0,NA,0,0
"CASEKEENUM","QB","Case Keenum","STL",29,108,7.86,NA,NA,184,1,2,NA,5,0,NA,0,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",37,109,7.8,NA,NA,0,0,0,NA,0,0,NA,78,0,NA,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",30,110,7.7,NA,NA,0,0,0,NA,37,0,NA,40,0,NA,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",31,111,7.4,NA,NA,0,0,0,NA,61,0,NA,13,0,NA,0,0
"COBYFLEENER","TE","Coby Fleener","IND",15,111,7.4,NA,NA,0,0,0,NA,0,0,NA,74,0,NA,0,0
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",15,111,7.4,NA,NA,0,0,0,NA,0,0,NA,74,0,NA,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",32,114,7.3,NA,NA,0,0,0,NA,12,1,NA,1,0,NA,0,0
"JAMESWHITE","RB","James White","NE",33,115,6.8,NA,NA,0,0,0,NA,27,0,NA,41,0,NA,0,0
"JAMESSTARKS","RB","James Starks","GB",34,116,6.5,NA,NA,0,0,0,NA,44,0,NA,21,0,NA,0,0
"WILLIESNEAD","WR","Willie Snead","NO",38,116,6.5,NA,NA,0,0,0,NA,0,0,NA,65,0,NA,0,0
"GOLDENTATE","WR","Golden Tate","DET",38,116,6.5,NA,NA,0,0,0,NA,3,0,NA,62,0,NA,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",40,119,6.1,NA,NA,0,0,0,NA,0,0,NA,61,0,NA,0,0
"FREDJACKSON","RB","Fred Jackson","SEA",35,120,6,NA,NA,0,0,0,NA,30,0,NA,30,0,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",36,121,5.9,NA,NA,0,0,0,NA,54,0,NA,5,0,NA,0,0
"CHARLESSIMS","RB","Charles Sims","TB",36,121,5.9,NA,NA,0,0,0,NA,44,0,NA,15,0,NA,0,0
"DANNYWOODHEAD","RB","Danny Woodhead","SD",36,121,5.9,NA,NA,0,0,0,NA,27,0,NA,32,0,NA,0,0
"DUKEJOHNSON","RB","Duke Johnson","CLE",39,124,5.8,NA,NA,0,0,0,NA,27,0,NA,31,0,NA,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",41,124,5.8,NA,NA,0,0,0,NA,3,0,NA,55,0,NA,0,0
"JAMISONCROWDER","WR","Jamison Crowder","WAS",42,126,5.7,NA,NA,0,0,0,NA,4,0,NA,53,0,NA,0,0
"DENARDROBINSON","RB","Denard Robinson","JAC",40,127,5.6,NA,NA,0,0,0,NA,46,0,NA,10,0,NA,0,0
"MARQISELEE","WR","Marqise Lee","JAC",43,127,5.6,NA,NA,0,0,0,NA,2,0,NA,54,0,NA,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",17,129,5.4,NA,NA,0,0,0,NA,0,0,NA,54,0,NA,0,0
"DOUGBALDWIN","WR","Doug Baldwin","SEA",44,130,5.3,NA,NA,0,0,0,NA,1,0,NA,52,0,NA,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",18,130,5.3,NA,NA,0,0,0,NA,0,0,NA,53,0,NA,0,0
