"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"DEXTERMCCLUSTER","WR","Dexter McCluster","TEN - R",82,182,4.1,NA,NA,NA,NA,NA,4.7,19.9,0.2,0.9,7,0.1,NA,0,0.1
"STEVEJOHNSON","WR","Stevie Johnson","SF",83,184,4,NA,NA,NA,NA,NA,0,0,0,2,26.7,0.2,NA,0,0
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",84,185,3.9,NA,NA,NA,NA,NA,0,0,0,1.4,25.7,0.2,NA,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",84,185,3.9,NA,NA,NA,NA,NA,0,0,0,2.3,26.9,0.2,NA,0,0
"ANDREWQUARLESS","TE","Andrew Quarless","GB",27,185,3.9,NA,NA,NA,NA,NA,0,0,0,2.6,27.6,0.2,NA,0,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",46,188,3.8,NA,NA,NA,NA,NA,6.1,21.8,0.2,0.9,5,0,NA,0,0.1
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",86,188,3.8,NA,NA,NA,NA,NA,0,0,0,2,26.2,0.2,NA,0,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",47,190,3.7,NA,NA,NA,NA,NA,5,19.2,0.2,0.5,3.8,0.1,NA,0,0.1
"DANIELHERRON","RB","Daniel Herron","IND",47,190,3.7,NA,NA,NA,NA,NA,6.2,22,0.3,0.2,0.6,0,NA,0,0.1
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",87,190,3.7,NA,NA,NA,NA,NA,0,0,0,1.5,25.4,0.2,NA,0,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",49,193,3.5,NA,NA,NA,NA,NA,3.7,16.4,0.1,1.3,9.2,0,NA,0,0.1
"BRANDONTATE","WR","Brandon Tate","CIN",88,193,3.5,NA,NA,NA,NA,NA,0,0,0,2,24.8,0.2,NA,0,0
