"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"RONNIEBROWN","RB","Ronnie Brown","SD I",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MICHAELBUSH","RB","Michael Bush",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DELONECARTER","RB","Delone Carter",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"SHAUNCHAPAS","RB","Shaun Chapas",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TASHARDCHOICE","RB","Tashard Choice",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOHNCONNER","RB","John Conner","NYJ",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MICHAELCOX","RB","Michael Cox","NYG",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ORLEANSDARKWA","RB","Orleans Darkwa","NYG",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JEFFDEMPS","RB","Jeff Demps",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JAMESDEVELIN","RB","James Develin","NE",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JEROMEFELTON","RB","Jerome Felton","MIN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ROYFINCH","RB","Roy Finch",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DAVIDFLUELLEN","RB","David Fluellen",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MICHAELFORD","RB","Michael Ford",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOHNATHANFRANKLIN","RB","Johnathan Franklin",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TYLERGAFFNEY","RB","Tyler Gaffney","NE I",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MIKEGILLISLEE","RB","Mike Gillislee","MIA",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MIKEGOODSON","RB","Mike Goodson",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"RAYGRAHAM","RB","Ray Graham",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JONASGRAY","RB","Jonas Gray","NE",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ALEXGREEN","RB","Alex Green",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MARIONGRICE","RB","Marion Grice","ARI",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CHRISGRONKOWSKI","RB","Chris Gronkowski",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MONTARIOHARDESTY","RB","Montario Hardesty",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JAMIEHARPER","RB","Jamie Harper",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"STANLEYHAVILI","RB","Stanley Havili","SEA",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DANHERRON","RB","Dan Herron","IND",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JACOBHESTER","RB","Jacob Hester",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"LEXHILLIARD","RB","Lex Hilliard",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"STEPHENHOUSTON","RB","Stephen Houston",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ROBERTHUGHES","RB","Robert Hughes","ARI",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KENDALLHUNTER","RB","Kendall Hunter","SF I",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"HENRYHYNOSKI","RB","Henry Hynoski","NYG",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"MARKINGRAM","RB","Mark Ingram","NO",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"BRIANQUICK","WR","Brian Quick","STL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,87,1,NA,0,0
"VICTORCRUZ","WR","Victor Cruz","NYG",102,246,0,NA,NA,0,0,0,NA,0,0,NA,78,1,NA,0,0
"SANTONIOHOLMES","WR","Santonio Holmes",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"DAVIDNELSON","WR","David Nelson",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"MARVINJONES","WR","Marvin Jones","CIN",102,246,0,NA,NA,0,0,0,NA,0,0,NA,25,0,NA,0,0
"BRUCEELLINGTON","WR","Bruce Ellington","SF I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,24,0,NA,0,0
"AJJENKINS","WR","A.J. Jenkins","KC I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,23,0,NA,0,0
"QUINTONPATTON","WR","Quinton Patton","SF I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,22,0,NA,0,0
"RYANBROYLES","WR","Ryan Broyles","DET",102,246,0,NA,NA,0,0,0,NA,0,0,NA,21,0,NA,0,0
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",102,246,0,NA,NA,0,0,0,NA,0,0,NA,20,0,NA,0,0
"JEFFJANIS","WR","Jeff Janis","GB I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,20,0,NA,0,0
"CODYLATIMER","WR","Cody Latimer","DEN",102,246,0,NA,NA,0,0,0,NA,0,0,NA,19,0,NA,0,0
"ROBERTMEACHEM","WR","Robert Meachem","NO I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,19,0,NA,0,0
"JOSHMORGAN","WR","Josh Morgan","CHI",102,246,0,NA,NA,0,0,0,NA,0,0,NA,15,0,NA,0,0
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","OAK",102,246,0,NA,NA,0,0,0,NA,0,0,NA,13,0,NA,0,0
"SANTANAMOSS","WR","Santana Moss","WAS",102,246,0,NA,NA,0,0,0,NA,0,0,NA,12,0,NA,0,0
"AARONDOBSON","WR","Aaron Dobson","NE I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,9,0,NA,0,0
"DREWDAVIS","WR","Drew Davis","ATL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,8,0,NA,0,0
"AUSTINPETTIS","WR","Austin Pettis",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,8,0,NA,0,0
"NICKTOON","WR","Nick Toon","NO I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,8,0,NA,0,0
"ROBERTHERRON","WR","Robert Herron","TB I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,5,0,NA,0,0
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JUSTINBROWN","WR","Justin Brown","PIT",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KRISDURHAM","WR","Kris Durham","TEN",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"COREYFULLER","WR","Corey Fuller","DET",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TJGRAHAM","WR","T.J. Graham","NYJ",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"LEONARDHANKERSON","WR","Leonard Hankerson","WAS",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DAMARISJOHNSON","WR","Damaris Johnson","HOU",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TJJONES","WR","T.J. Jones","DET",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CHRISOWUSU","WR","Chris Owusu","NYJ",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DEVIERPOSEY","WR","DeVier Posey","HOU",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JEREMYROSS","WR","Jeremy Ross","DET",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"GREGSALAS","WR","Greg Salas","NYJ",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DEVINSTREET","WR","Devin Street","DAL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
