"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"GIOVANIBERNARD","RB","22-317","2014-10-05","CIN",TRUE,"NWE","L 17-43",5,"Sun",4,2014,5,NA,NA,NA,62,0,2,10,0
"GOLDENTATE","WR","26-064","2014-10-05","DET",FALSE,"BUF","L 14-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,7,134,1
"GREGJENNINGS","WR","31-011","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,2,31,0
"GREGOLSEN","WR","29-208","2014-10-05","CAR",FALSE,"CHI","W 31-24",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,6,72,2
"GREGSALAS","WR","26-041","2014-10-05","NYJ",TRUE,"SDG","L 0-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,12,0
"HAKEEMNICKS","WR","26-264","2014-10-05","IND",FALSE,"BAL","W 20-13",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,29,0
"HEATHMILLER","WR","31-348","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,46,0
"ISAIAHCROWELL","RB","21-270","2014-10-05","CLE",TRUE,"TEN","W 29-28",5,"Sun",4,2014,5,NA,NA,NA,19,0,NA,NA,NA
"JACEAMARO","WR","22-101","2014-10-05","NYJ",TRUE,"SDG","L 0-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,19,0
"JACOBTAMME","WR","29-204","2014-10-05","DEN",FALSE,"ARI","W 41-20",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,1,17,0
"JACOBYJONES","WR","30-086","2014-10-05","BAL",TRUE,"IND","L 13-20",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,30,0
"JACQUIZZRODGERS","RB","24-241","2014-10-05","ATL",TRUE,"NYG","L 20-30",5,"Sun",5,2014,5,NA,NA,NA,10,0,1,5,0
"JAKELOCKER","QB","26-112","2014-10-05","TEN",FALSE,"CLE","L 28-29",5,"Sun",5,2014,5,79,1,0,34,1,NA,NA,NA
"JAMAALCHARLES","RB","27-282","2014-10-05","KAN",TRUE,"SFO","L 17-22",5,"Sun",5,2014,5,NA,NA,NA,80,0,1,4,0
"JAMESDEVELIN","RB","26-074","2014-10-05","NWE",FALSE,"CIN","W 43-17",5,"Sun",5,2014,5,NA,NA,NA,5,0,1,11,0
"JAMESSTARKS","RB","28-219","2014-10-02","GNB",FALSE,"MIN","W 42-10",5,"Thu",5,2014,5,NA,NA,NA,46,0,2,2,0
"JAREDCOOK","WR","27-181","2014-10-05","STL",TRUE,"PHI","L 28-34",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,4,44,0
"JARIUSWRIGHT","WR","24-311","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,3,27,0
"JASONAVANT","WR","31-168","2014-10-05","CAR",FALSE,"CHI","W 31-24",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,42,0
"JASONCAMPBELL","QB","32-278","2014-10-05","CIN",TRUE,"NWE","L 17-43",5,"Sun",4,2014,5,45,0,0,NA,NA,NA,NA,NA
"JASONWITTEN","WR","32-152","2014-10-05","DAL",FALSE,"HOU","W 20-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,4,59,0
"JAYCUTLER","QB","31-159","2014-10-05","CHI",TRUE,"CAR","L 24-31",5,"Sun",5,2014,5,289,2,2,22,1,NA,NA,NA
"JEFFCUMBERLAND","WR","27-156","2014-10-05","NYJ",TRUE,"SDG","L 0-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,12,0
"JEFFJANIS","WR","23-115","2014-10-02","GNB",FALSE,"MIN","W 42-10",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,2,16,0
"JEREMYHILL","RB","21-350","2014-10-05","CIN",TRUE,"NWE","L 17-43",5,"Sun",4,2014,5,NA,NA,NA,1,0,3,68,0
"JEREMYKERLEY","WR","25-331","2014-10-05","NYJ",TRUE,"SDG","L 0-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,24,0
"JEREMYMACLIN","WR","26-147","2014-10-05","PHI",FALSE,"STL","W 34-28",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,5,76,1
"JEREMYROSS","WR","26-203","2014-10-05","DET",FALSE,"BUF","L 14-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,13,0
"JERICKMCKINNON","RB","22-152","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,24,0,3,22,0
"JERMAINEGRESHAM","WR","26-111","2014-10-05","CIN",TRUE,"NWE","L 17-43",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,2,15,0
"JERMAINEKEARSE","WR","24-242","2014-10-06","SEA",TRUE,"WAS","W 27-17",5,"Mon",4,2014,5,NA,NA,NA,NA,NA,1,15,1
"JERRICHOCOTCHERY","WR","32-111","2014-10-05","CAR",FALSE,"CHI","W 31-24",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,46,0
"JIMDRAY","WR","27-278","2014-10-05","CLE",TRUE,"TEN","W 29-28",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,3,25,1
"JIMMYGAROPPOLO","RB","22-337","2014-10-05","NWE",FALSE,"CIN","W 43-17",5,"Sun",5,2014,5,NA,NA,NA,-4,0,NA,NA,NA
"JIMMYGRAHAM","WR","27-315","2014-10-05","NOR",FALSE,"TAM","W 37-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,36,0
"JOEBANYARD","WR","25-324","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,2,11,0
