"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"CECILSHORTS","Cecil Shorts","WR","JAC",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55,13.8,0,NA,0,5
"LOUISMURPHY","Louis Murphy","WR","TB",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,14.8,0,NA,0,5
"JOHNBROWN","John Brown","WR","ARI",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,14.8,0,NA,0,5
"JAMESJONES","James Jones","WR","OAK",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,12.8,0,NA,0,5
"HAKEEMNICKS","Hakeem Nicks","WR","IND",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,56,14,0,NA,0,5
"TAYLORGABRIEL","Taylor Gabriel","WR","CLE",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,53,17.7,0,NA,0,5
"RILEYCOOPER","Riley Cooper","WR","PHI",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,71,17.8,0,NA,1,5
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55,13.8,0,NA,0,5
"CHRISHOGAN","Chris Hogan","WR","BUF",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,0,NA,0,5
"MALCOMFLOYD","Malcom Floyd","WR","SD",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,58,19.3,0,NA,0,5
"HARRYDOUGLAS","Harry Douglas","WR","ATL",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,51,17,0,NA,0,5
"DONTEMONCRIEF","Donte Moncrief","WR","IND",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58,14.5,0,NA,0,5
"KEENANALLEN","Keenan Allen","WR","SD",47,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,14.8,0,NA,0,5
"JASONWITTEN","Jason Witten","TE","DAL",18,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,12.8,0,NA,0,5
"CHRISJOHNSON","Chris Johnson","RB","NYJ",39,146,NA,NA,NA,NA,NA,NA,NA,8,31,3.9,0,2,19,9.5,0,NA,0,4
"JAMESSTARKS","James Starks","RB","GB",39,146,NA,NA,NA,NA,NA,NA,NA,7,33,4.7,0,2,16,8,0,NA,0,4
"MATTASIATA","Matt Asiata","RB","MIN",39,146,NA,NA,NA,NA,NA,NA,NA,6,27,4.5,0,2,21,10.5,0,NA,0,4
"JOSEPHRANDLE","Joseph Randle","RB","DAL",39,146,NA,NA,NA,NA,NA,NA,NA,8,41,5.1,0,1,5,5,0,NA,0,4
"DARRENSPROLES","Darren Sproles","RB","PHI",39,146,NA,NA,NA,NA,NA,NA,NA,3,14,4.7,0,3,30,10,0,NA,0,4
"ROYHELU","Roy Helu","RB","WAS",39,146,NA,NA,NA,NA,NA,NA,NA,3,18,6,0,3,30,10,0,NA,0,4
"BOBBYRAINEY","Bobby Rainey","RB","TB",39,146,NA,NA,NA,NA,NA,NA,NA,7,31,4.4,0,2,19,9.5,0,NA,0,4
"ANTONESMITH","Antone Smith","RB","ATL",39,146,NA,NA,NA,NA,NA,NA,NA,2,6,3,0,3,47,15.7,0,NA,0,4
"DANIELTHOMAS","Daniel Thomas","RB","MIA",39,146,NA,NA,NA,NA,NA,NA,NA,4,22,5.5,0,2,21,10.5,0,NA,0,4
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"BRIANQUICK","Brian Quick","WR","STL",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,43,14.3,0,NA,0,4
"BRIANHARTLINE","Brian Hartline","WR","MIA",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,42,10.5,0,NA,0,4
"JARVISLANDRY","Jarvis Landry","WR","MIA",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,13.3,0,NA,0,4
"MILESAUSTIN","Miles Austin","WR","CLE",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45,22.5,0,NA,0,4
"MARQISELEE","Marqise Lee","WR","JAC",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41,13.7,0,NA,0,4
"JARIUSWRIGHT","Jarius Wright","WR","MIN",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48,12,0,NA,0,4
"ROBERTWOODS","Robert Woods","WR","BUF",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,42,8.4,0,NA,0,4
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45,22.5,0,NA,0,4
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,41,8.2,0,NA,0,4
"BRICEBUTLER","Brice Butler","WR","OAK",60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,40,0,NA,0,4
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",19,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,44,7.3,0,NA,0,4
"TRAVISKELCE","Travis Kelce","TE","KC",19,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41,13.7,0,NA,0,4
