"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"ERICEBRON","TE","Eric Ebron","DET",21,166,6.19,4.8,NA,0,0,0,0,0,0,3.1,34.5,0.2,0,0,0
"ROYHELU","RB","Roy Helu Jr.","OAK",45,167,6.18,3.7,NA,0,0,0,4.3,16.3,0.1,2.9,22.1,0.1,0,0,0.1
"CHRISTINEMICHAEL","RB","Christine Michael","DAL",46,168,6.16,0.6,NA,0,0,0,8.9,39.9,0.3,0.5,4,0,0,0,0.1
"CHRISCONLEY","WR","Chris Conley","KC",70,169,6.15,4.5,NA,0,0,0,0,0,0,2.8,34.9,0.2,0,0,0
"REGGIEBUSH","RB","Reggie Bush","SF",47,170,6.07,3.3,NA,0,0,0,4.6,20.1,0.1,2.4,20.2,0.1,0,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",48,171,6.03,0.8,NA,0,0,0,8.4,38.7,0.2,0.6,5,0,0,0,0.1
"KENNYSTILLS","WR","Kenny Stills","MIA",71,172,6,3.7,NA,0,0,0,0.3,1.7,0,2.4,35.2,0.2,0,0,0
"VERNONDAVIS","TE","Vernon Davis","SF",22,173,5.99,4.5,NA,0,0,0,0,0,0,2.7,34.6,0.2,0,0,0
"PHILLIPDORSETT","WR","Phillip Dorsett","IND",72,173,5.99,3.8,NA,0,0,0,0.3,1.7,0,2.4,29.9,0.2,0.1,0,0
"CECILSHORTS","WR","Cecil Shorts III","HOU",73,175,5.85,4.4,NA,0,0,0,0.1,0.9,0,2.5,32.6,0.2,0,0,0
"COBYFLEENER","TE","Coby Fleener","IND",23,176,5.82,3.8,NA,0,0,0,0,0,0,2.4,28.7,0.3,0,0,0
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",49,177,5.8,3.1,NA,0,0,0,2.9,11.2,0.1,2.3,20.8,0.1,0.1,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",74,178,5.76,3.5,NA,0,0,0,0,0,0,2.2,32.2,0.2,0,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",24,179,5.7,4,NA,0,0,0,0,0,0,2.6,29.4,0.2,0,0,0
"BRIANHARTLINE","WR","Brian Hartline","CLE",75,180,5.69,4.5,NA,0,0,0,0,0,0,2.5,33.7,0.2,0,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",50,181,5.68,2.6,NA,0,0,0,4.5,19.8,0.1,2,16.2,0.1,0,0,0
"MAXXWILLIAMS","TE","Maxx Williams","BAL",25,182,5.66,3.9,NA,0,0,0,0,0,0,2.6,30.2,0.2,0,0,0
"JACOBTAMME","TE","Jacob Tamme","ATL",26,183,5.61,4.3,NA,0,0,0,0,0,0,2.8,30.9,0.2,0,0,0
"DWAYNEBOWE","WR","Dwayne Bowe","CLE",76,183,5.61,4.8,NA,0,0,0,0,0,0,2.6,33,0.2,0,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",77,185,5.6,3.2,NA,0,0,0,1.3,9.7,0,2.1,21.9,0.1,0.1,0,0
