"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"MATTJONES","RB","Matt Jones","WAS",27,104,9.2,NA,NA,0,0,0,NA,43,1,NA,9,0,NA,0,1
"STEVEJOHNSON","WR","Steve Johnson","SD",38,105,9.1,NA,NA,0,0,0,NA,0,0,NA,31,1,NA,0,0
"OWENDANIELS","TE","Owen Daniels","DEN",17,105,9.1,NA,NA,0,0,0,NA,0,0,NA,31,1,NA,0,0
"SAMBRADFORD","QB","Sam Bradford","PHI",25,107,8.36,NA,NA,154,1,1,NA,2,0,NA,0,0,NA,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",28,108,7.6,NA,NA,0,0,0,NA,63,0,NA,13,0,NA,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",39,109,7.5,NA,NA,0,0,0,NA,0,0,NA,75,0,NA,0,0
"RYANMATHEWS","RB","Ryan Mathews","PHI",29,110,7.4,NA,NA,0,0,0,NA,58,0,NA,16,0,NA,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",30,111,7.1,NA,NA,0,0,0,NA,31,0,NA,40,0,NA,0,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",31,112,6.6,NA,NA,0,0,0,NA,60,0,NA,6,0,NA,0,0
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",32,113,6.3,NA,NA,0,0,0,NA,36,0,NA,27,0,NA,0,0
"WILLIESNEAD","WR","Willie Snead","NO D",40,114,6.2,NA,NA,0,0,0,NA,0,0,NA,62,0,NA,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",26,115,6.16,NA,NA,94,1,1,NA,4,0,NA,0,0,NA,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",41,116,6.1,NA,NA,0,0,0,NA,0,0,NA,61,0,NA,0,0
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",18,117,5.9,NA,NA,0,0,0,NA,0,0,NA,59,0,NA,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",33,118,5.8,NA,NA,0,0,0,NA,50,0,NA,8,0,NA,0,0
"PERCYHARVIN","WR","Percy Harvin","BUF",42,119,5.7,NA,NA,0,0,0,NA,8,0,NA,49,0,NA,0,0
"CHARLESSIMS","RB","Charles Sims","TB",34,120,5.6,NA,NA,0,0,0,NA,39,0,NA,17,0,NA,0,0
"JAMISONCROWDER","WR","Jamison Crowder","WAS",43,121,5.4,NA,NA,0,0,0,NA,3,0,NA,51,0,NA,0,0
"HEATHMILLER","TE","Heath Miller","PIT",19,121,5.4,NA,NA,0,0,0,NA,0,0,NA,54,0,NA,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",20,123,5.3,NA,NA,0,0,0,NA,0,0,NA,53,0,NA,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",44,124,5.2,NA,NA,0,0,0,NA,25,0,NA,27,0,NA,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",45,125,5.1,NA,NA,0,0,0,NA,3,0,NA,48,0,NA,0,0
"JORDANCAMERON","TE","Jordan Cameron","MIA",21,125,5.1,NA,NA,0,0,0,NA,0,0,NA,51,0,NA,0,0
"HARRYDOUGLAS","WR","Harry Douglas","TEN",46,127,5,NA,NA,0,0,0,NA,0,0,NA,50,0,NA,0,0
"MARQISELEE","WR","Marqise Lee","JAC",47,128,4.9,NA,NA,0,0,0,NA,1,0,NA,48,0,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",35,129,4.7,NA,NA,0,0,0,NA,42,0,NA,5,0,NA,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",35,129,4.7,NA,NA,0,0,0,NA,30,0,NA,17,0,NA,0,0
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",48,129,4.7,NA,NA,0,0,0,NA,0,0,NA,47,0,NA,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",48,129,4.7,NA,NA,0,0,0,NA,3,0,NA,44,0,NA,0,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",37,133,4.5,NA,NA,0,0,0,NA,31,0,NA,14,0,NA,0,0
"TEDGINN","WR","Ted Ginn","CAR",50,133,4.5,NA,NA,0,0,0,NA,0,0,NA,45,0,NA,0,0
"DENARDROBINSON","RB","Denard Robinson","JAC",38,135,4.4,NA,NA,0,0,0,NA,35,0,NA,9,0,NA,0,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",51,135,4.4,NA,NA,0,0,0,NA,1,0,NA,43,0,NA,0,0
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",51,135,4.4,NA,NA,0,0,0,NA,2,0,NA,42,0,NA,0,0
"JAREDCOOK","TE","Jared Cook","STL",22,138,4.2,NA,NA,0,0,0,NA,0,0,NA,42,0,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",39,139,4.1,NA,NA,0,0,0,NA,32,0,NA,9,0,NA,0,0
"ZACSTACY","RB","Zac Stacy","NYJ",39,139,4.1,NA,NA,0,0,0,NA,29,0,NA,12,0,NA,0,0
