displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Dontrelle Inman,SD,0.4,3.4,0.0,0.0,0.0,0.0,0.0
Kevin Norwood,CAR,0.1,3.2,0.0,0.0,0.0,0.0,0.0
Greg Little,CIN,0.7,2.8,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.8,2.8,0.0,0.0,0.0,0.0,0.0
Geremy Davis,NYG,0.2,2.1,0.0,0.1,0.3,0.0,0.0
Paul Richardson,SEA,0.2,1.7,0.0,0.0,0.0,0.0,0.0
Jeff Janis,GB,0.5,1.4,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,MIN,0.5,1.3,0.0,0.0,0.0,0.0,0.0
Rashad Ross,WAS,0.5,1.1,0.0,0.0,0.0,0.0,0.0
Marlon Moore,CLE,0.1,1.1,0.0,0.0,0.0,0.0,0.0
Darren Waller,BAL,0.5,1.0,0.0,0.0,0.0,0.0,0.0
Marc Mariani,CHI,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Eric Weems,ATL,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.0,0.7,0.0,0.0,0.0,0.0,0.0
Seyi Ajirotutu,PHI,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Chris Harper,NE,0.6,0.6,0.0,0.0,0.0,0.0,0.0
Marcus Easley,BUF,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Frankie Hammond,KC,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Cameron Meredith,CHI,0.0,0.5,0.0,0.0,0.0,0.0,0.0
TJ Jones,DET,0.0,0.3,0.0,0.0,0.0,0.0,0.0
DeAndrew White,SF,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Keshawn Martin,HOU,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Nick Williams,ATL,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Matt Hazel,MIA,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Lippett,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Abbrederis,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brittan Golden,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Alford,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Presley,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
