"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"ANTONESMITH","Antone Smith","RB","ATL",47,177,NA,NA,NA,NA,NA,NA,NA,2,8,4,0,3,25,8.3,0,NA,0,2
"JUWANTHOMPSON","Juwan Thompson","RB","DEN",47,177,NA,NA,NA,NA,NA,NA,NA,6,23,3.8,0,0,0,0,0,NA,0,2
"ALFREDBLUE","Alfred Blue","RB","HOU",47,177,NA,NA,NA,NA,NA,NA,NA,6,28,4.7,0,1,5,5,0,NA,0,2
"BISHOPSANKEY","Bishop Sankey","RB","TEN",47,177,NA,NA,NA,NA,NA,NA,NA,7,23,3.3,0,0,0,0,0,NA,0,2
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",47,177,NA,NA,NA,NA,NA,NA,NA,5,25,5,0,0,0,0,0,NA,0,2
"DANHERRON","Dan Herron","RB","IND",47,177,NA,NA,NA,NA,NA,NA,NA,7,26,3.7,0,1,3,3,0,NA,0,2
"DANIELTHOMAS","Daniel Thomas","RB","MIA",47,177,NA,NA,NA,NA,NA,NA,NA,7,25,3.6,0,0,0,0,0,NA,0,2
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",47,177,NA,NA,NA,NA,NA,NA,NA,3,10,3.3,0,2,12,6,0,NA,0,2
"BRENTONBERSIN","Brenton Bersin","WR","CAR",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,13.5,0,NA,0,2
"SANTONIOHOLMES","Santonio Holmes","WR","CHI",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,0,NA,0,2
"ALLENHURNS","Allen Hurns","WR","JAC",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
"JARONBROWN","Jaron Brown","WR","ARI",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"ANDREROBERTS","Andre Roberts","WR","WAS",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,7,0,NA,0,2
"FRANKIEHAMMOND","Frankie Hammond","WR","KC",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"DEREKHAGAN","Derek Hagan","WR","TEN",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,13.5,0,NA,0,2
"COLEBEASLEY","Cole Beasley","WR","DAL",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",77,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,11.5,0,NA,0,2
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
"GARRETTGRAHAM","Garrett Graham","TE","HOU",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
"BRENTCELEK","Brent Celek","TE","PHI",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"LANCEKENDRICKS","Lance Kendricks","TE","STL",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"HEATHMILLER","Heath Miller","TE","PIT",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,8.3,0,NA,0,2
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,8,0,NA,0,2
"JOHNCARLSON","John Carlson","TE","ARI",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"CHASEFORD","Chase Ford","TE","MIN",25,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
"DUJUANHARRIS","DuJuan Harris","RB","GB",57,206,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,12,6,0,NA,0,1
"JORDANTODMAN","Jordan Todman","RB","JAC",57,206,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,3,14,4.7,0,NA,0,1
"MIKEJAMES","Mike James","RB","TB",57,206,NA,NA,NA,NA,NA,NA,NA,3,14,4.7,0,0,0,0,0,NA,0,1
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",57,206,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,17,5.7,0,NA,0,1
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",57,206,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,2,13,6.5,0,NA,0,1
"CJANDERSON","C.J. Anderson","RB","DEN",57,206,NA,NA,NA,NA,NA,NA,NA,3,13,4.3,0,0,0,0,0,NA,0,1
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",57,206,NA,NA,NA,NA,NA,NA,NA,5,18,3.6,0,0,0,0,0,NA,0,1
"TOBYGERHART","Toby Gerhart","RB","JAC",57,206,NA,NA,NA,NA,NA,NA,NA,5,17,3.4,0,0,0,0,0,NA,0,1
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CAR",57,206,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,2,10,5,0,NA,0,1
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",57,206,NA,NA,NA,NA,NA,NA,NA,4,19,4.8,0,1,4,4,0,NA,0,1
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",57,206,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,10,5,0,NA,0,1
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",57,206,NA,NA,NA,NA,NA,NA,NA,4,15,3.8,0,1,3,3,0,NA,0,1
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",87,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,0,NA,0,1
