"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"180","Denard Robinson","RB58","8","162","210","181.3","17.8","DENARDROBINSON"
"181","Tre Mason","RB59","6","150","199","173.0","20.1","TREMASON"
"182","Ty Montgomery","WR78","7","152","167","159.5","7.5","TYMONTGOMERY"
"183","Josh Robinson","RB60","10","151","173","162.0","11.0","JOSHROBINSON"
"184","Devante Parker","WR79","5","158","166","162.0","4.0","DEVANTEPARKER"
"185","Owen Daniels","TE24","7","160","227","183.7","30.7","OWENDANIELS"
"186","Christine Michael","RB61","6","170","178","175.3","3.8","CHRISTINEMICHAEL"
"187","Jared Cook","TE25","6","160","168","164.0","4.0","JAREDCOOK"
"188","Chris Polk","RB62","9","157","172","164.5","7.5","CHRISPOLK"
"189","Jacob Tamme","TE26","10","164","168","166.0","2.0","JACOBTAMME"
"190","DeAngelo Williams","RB63","11","151","182","166.5","15.5","DEANGELOWILLIAMS"
"191","Khiry Robinson","RB64","11","162","172","167.0","5.0","KHIRYROBINSON"
"192","Dwayne Bowe","WR80","11","152","185","168.5","16.5","DWAYNEBOWE"
"193","Phillip Dorsett","WR81","10","166","171","168.5","2.5","PHILLIPDORSETT"
"194","Malcom Floyd","WR82","10","163","177","170.0","7.0","MALCOMFLOYD"
"195","Benjamin Watson","TE27","11","142","224","183.0","41.0","BENJAMINWATSON"
"196","Javorius Allen","RB65","9","173","193","181.7","8.4","JAVORIUSALLEN"
"197","Jerick McKinnon","RB66","5","165","180","172.5","7.5","JERICKMCKINNON"
"198","Cody Latimer","WR83","7","154","192","173.0","19.0","CODYLATIMER"
"199","Jaelen Strong","WR84","9","163","188","175.5","12.5","JAELENSTRONG"
"200","Tony Romo","QB23","6","155","207","181.0","26.0","TONYROMO"
"201","Lance Moore","WR85","9","158","158","158.0","0.0","LANCEMOORE"
"202","Andrew Hawkins","WR86","11","158","158","158.0","0.0","ANDREWHAWKINS"
"203","Josh McCown","QB24","11","159","203","181.0","22.0","JOSHMCCOWN"
"204","Philly Brown","WR87","5","174","186","180.0","6.0","PHILLYBROWN"
"205","Thomas Rawls","RB67","9","172","189","180.5","8.5","THOMASRAWLS"
"206","Dexter McCluster","WR88","4","161","161","161.0","0.0","DEXTERMCCLUSTER"
"207","Jonathan Grimes","RB68","9","162","162","162.0","0.0","JONATHANGRIMES"
"208","Coby Fleener","TE28","10","164","164","164.0","0.0","COBYFLEENER"
"209","Fred Jackson","RB69","9","165","215","190.0","25.0","FREDJACKSON"
"210","Jerricho Cotchery","WR89","5","167","221","194.0","27.0","JERRICHOCOTCHERY"
"211","Jermaine Kearse","WR90","9","169","169","169.0","0.0","JERMAINEKEARSE"
"212","David Cobb","RB70","4","172","172","172.0","0.0","DAVIDCOBB"
"213","Harry Douglas","WR91","4","174","174","174.0","0.0","HARRYDOUGLAS"
"214","Brian Hartline","WR92","11","176","218","197.0","21.0","BRIANHARTLINE"
"215","Dwayne Harris","WR93","11","176","176","176.0","0.0","DWAYNEHARRIS"
"216","Robert Turbin","RB71","11","178","178","178.0","0.0","ROBERTTURBIN"
"217","Benny Cunningham","RB72","6","179","179","179.0","0.0","BENNYCUNNINGHAM"
"218","Damien Williams","RB73","5","179","179","179.0","0.0","DAMIENWILLIAMS"
"219","Terrance West","RB74","4","180","180","180.0","0.0","TERRANCEWEST"
"220","Joe Flacco","QB25","9","181","181","181.0","0.0","JOEFLACCO"
"221","Stedman Bailey","WR94","6","183","183","183.0","0.0","STEDMANBAILEY"
"222","Marcel Reece","RB75","6","184","184","184.0","0.0","MARCELREECE"
"223","Nate Washington","WR95","9","191","191","191.0","0.0","NATEWASHINGTON"
"224","Ryan Fitzpatrick","QB26","5","195","195","195.0","0.0","RYANFITZPATRICK"
"225","Brian Hoyer","QB27","9","196","196","196.0","0.0","BRIANHOYER"
"226","Colin Kaepernick","QB28","10","197","197","197.0","0.0","COLINKAEPERNICK"
"227","Aaron Dobson","WR96","4","200","200","200.0","0.0","AARONDOBSON"
"228","Jameis Winston","QB29","6","202","202","202.0","0.0","JAMEISWINSTON"
"229","Kirk Cousins","QB30","8","204","204","204.0","0.0","KIRKCOUSINS"
"230","Alex Smith","QB31","9","206","206","206.0","0.0","ALEXSMITH"
"231","Nick Foles","QB32","6","208","208","208.0","0.0","NICKFOLES"
"232","Toby Gerhart","RB76","8","209","209","209.0","0.0","TOBYGERHART"
"233","Bilal Powell","RB77","5","211","211","211.0","0.0","BILALPOWELL"
"234","Zac Stacy","RB78","5","213","213","213.0","0.0","ZACSTACY"
"235","Orleans Darkwa","RB79","11","214","214","214.0","0.0","ORLEANSDARKWA"
"236","Ahmad Bradshaw","RB80","10","216","216","216.0","0.0","AHMADBRADSHAW"
"237","Jeremy Langford","RB81","7","217","217","217.0","0.0","JEREMYLANGFORD"
"238","Jeff Janis","WR97","7","219","219","219.0","0.0","JEFFJANIS"
"239","Breshad Perriman","WR98","9","220","220","220.0","0.0","BRESHADPERRIMAN"
"240","Dwayne Allen","TE29","10","223","223","223.0","0.0","DWAYNEALLEN"
"241","Josh Hill","TE30","11","225","225","225.0","0.0","JOSHHILL"
"242","Maxx Williams","TE31","9","228","228","228.0","0.0","MAXXWILLIAMS"
"243","Vernon Davis","TE32","10","229","229","229.0","0.0","VERNONDAVIS"
