displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Mike Wallace,MIA,5.0,58.0,1.0,0.0,0.0,0.0,0.0
Terrance Williams,DAL,3.0,57.0,1.0,0.0,0.0,0.0,0.0
Marques Colston,NO,5.0,57.0,0.0,0.0,0.0,0.0,0.0
Odell Beckham Jr.,NYG,5.0,57.0,1.0,1.0,4.0,0.0,0.0
Mike Evans,TB,4.0,56.0,0.0,0.0,0.0,0.0,0.0
Kenny Stills,NO,4.0,56.0,0.0,0.0,0.0,0.0,0.0
Vincent Jackson,TB,4.0,55.0,1.0,0.0,0.0,0.0,0.0
Miles Austin,CLE,4.0,54.0,1.0,0.0,0.0,0.0,0.0
Dwayne Bowe,KC,4.0,54.0,1.0,0.0,0.0,0.0,0.0
Donte Moncrief,IND,3.0,54.0,0.0,0.0,0.0,0.0,0.0
Michael Crabtree,SF,5.0,53.0,1.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,MIN,4.0,52.0,1.0,1.0,6.0,0.0,0.0
Cecil Shorts III,JAC,5.0,52.0,0.0,0.0,0.0,0.0,0.0
Markus Wheaton,PIT,4.0,51.0,0.0,0.0,0.0,0.0,0.0
Martavis Bryant,PIT,3.0,51.0,0.0,0.0,0.0,0.0,0.0
Jerricho Cotchery,CAR,5.0,51.0,0.0,0.0,0.0,0.0,0.0
John Brown,ARI,3.0,51.0,0.0,0.0,0.0,0.0,0.0
Michael Floyd,ARI,4.0,50.0,0.0,0.0,0.0,0.0,0.0
Stevie Johnson,SF,3.0,49.0,0.0,0.0,0.0,0.0,0.0
Riley Cooper,PHI,5.0,48.0,0.0,0.0,0.0,0.0,0.0
Jordan Matthews,PHI,5.0,48.0,0.0,0.0,0.0,0.0,0.0
Greg Jennings,MIN,3.0,47.0,0.0,0.0,0.0,0.0,0.0
Wes Welker,DEN,4.0,45.0,0.0,0.0,0.0,0.0,0.0
Percy Harvin,NYJ,4.0,43.0,0.0,3.0,25.0,0.0,0.0
Allen Hurns,JAC,3.0,43.0,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,MIA,5.0,42.0,1.0,0.0,0.0,0.0,0.0
Eddie Royal,SD,4.0,42.0,0.0,0.0,0.0,0.0,0.0
Taylor Gabriel,CLE,2.0,40.0,0.0,0.0,0.0,0.0,0.0
Brandon Tate,CIN,3.0,39.0,0.0,0.0,0.0,0.0,0.0
Hakeem Nicks,IND,3.0,37.0,0.0,0.0,0.0,0.0,0.0
Jermaine Kearse,SEA,3.0,36.0,0.0,0.0,0.0,0.0,0.0
Brian Hartline,MIA,3.0,35.0,0.0,0.0,0.0,0.0,0.0
Tavon Austin,STL,3.0,34.0,0.0,1.0,2.0,0.0,0.0
Preston Parker,NYG,2.0,33.0,0.0,0.0,0.0,0.0,0.0
Jeremy Kerley,NYJ,3.0,32.0,0.0,0.0,0.0,0.0,0.0
Kamar Aiken,BAL,3.0,30.0,0.0,0.0,0.0,0.0,0.0
Brandon Lloyd,SF,1.0,29.0,0.0,0.0,0.0,0.0,0.0
Stedman Bailey,STL,2.0,28.0,0.0,0.0,0.0,0.0,0.0
